Sport,League,Home_Team,Away_Team,Scenario,Home_Line,Away_Line,Actual_Point_Diff,Who_Covered,Winning_Line
BASKETBALL,NBA,HOU ROCKETS,LA LAKERS,n/a,-4.5,4.5,4.0,LA LAKERS,4.5
BASKETBALL,NBA,GS WARRIORS,SAC KINGS,n/a,-3.0,3.0,-30.0,SAC KINGS,3.0
FOOTBALL,NFL,BAL RAVENS,CLE BROWNS,n/a,-20.5,20.5,25.0,BAL RAVENS,-20.5
FOOTBALL,NFL,PIT STEELERS,CIN BENGALS,n/a,2.5,-2.5,-2.0,PIT STEELERS,2.5
BASKETBALL,CBB,KENTUCKY,FLORIDA,n/a,-2.5,2.5,6.0,KENTUCKY,-2.5
BASKETBALL,NBA,BKN NETS,PHI 76ERS,n/a,7.5,-7.5,-29.0,PHI 76ERS,-7.5
BASKETBALL,NBA,DET PISTONS,MIN TIMBERWOLVES,n/a,7.0,-7.0,14.0,DET PISTONS,7.0
BASKETBALL,NBA,IND PACERS,PHO SUNS,n/a,-2.5,2.5,18.0,IND PACERS,-2.5
BASKETBALL,NBA,CHI BULLS,NY KNICKS,n/a,6.0,-6.0,13.0,CHI BULLS,6.0
BASKETBALL,NBA,MIL BUCKS,POR TRAIL BLAZERS,n/a,-12.0,12.0,-3.0,POR TRAIL BLAZERS,12.0
BASKETBALL,NBA,SA SPURS,DEN NUGGETS,n/a,3.5,-3.5,-11.0,DEN NUGGETS,-3.5
BASKETBALL,NBA,MIA HEAT,UTA JAZZ,n/a,-8.5,8.5,-36.0,UTA JAZZ,8.5
BASKETBALL,NBA,GS WARRIORS,MEM GRIZZLIES,n/a,-2.5,2.5,8.0,GS WARRIORS,-2.5
BASKETBALL,NBA,LA CLIPPERS,ATL HAWKS,n/a,-6.0,6.0,26.0,LA CLIPPERS,-6.0
BASKETBALL,NBA,DET PISTONS,CHA HORNETS,n/a,-6.5,6.5,4.0,CHA HORNETS,6.5
BASKETBALL,NBA,TOR RAPTORS,ORL MAGIC,n/a,1.5,-1.5,-9.0,ORL MAGIC,-1.5
BASKETBALL,NBA,OKC THUNDER,NY KNICKS,n/a,-4.5,4.5,10.0,OKC THUNDER,-4.5
BASKETBALL,NBA,HOU ROCKETS,BOS CELTICS,n/a,2.5,-2.5,-23.0,BOS CELTICS,-2.5
BASKETBALL,NBA,NO PELICANS,WAS WIZARDS,n/a,-7.5,7.5,12.0,NO PELICANS,-7.5
BASKETBALL,NBA,DAL MAVERICKS,CLE CAVALIERS,n/a,7.0,-7.0,-12.0,CLE CAVALIERS,-7.0
BASKETBALL,NBA,DEN NUGGETS,SA SPURS,n/a,-6.5,6.5,-3.0,SA SPURS,6.5
BASKETBALL,NBA,SAC KINGS,MEM GRIZZLIES,n/a,-2.5,2.5,5.0,SAC KINGS,-2.5
BASKETBALL,NBA,LA LAKERS,ATL HAWKS,n/a,-2.0,2.0,17.0,LA LAKERS,-2.0
FOOTBALL,CFB,TEXAS STATE,NORTH TEXAS,n/a,-15.5,15.5,2.0,NORTH TEXAS,15.5
FOOTBALL,CFB,VIRGINIA TECH,MINNESOTA,n/a,10.0,-10.0,-14.0,MINNESOTA,-10.0
BASKETBALL,CBB,BOWLING GREEN,AKRON,n/a,5.5,-5.5,-3.0,BOWLING GREEN,5.5
BASKETBALL,CBB,WISCONSIN,IOWA,n/a,-6.5,6.5,31.0,WISCONSIN,-6.5
BASKETBALL,CBB,TEMPLE,WICHITA STATE,n/a,-1.0,1.0,6.0,TEMPLE,-1.0
BASKETBALL,CBB,SAINT FRANCIS PA,CENTRAL CONNECTICUT STATE,n/a,6.0,-6.0,-15.0,CENTRAL CONNECTICUT STATE,-6.0
BASKETBALL,CBB,SAINT PETERS,QUINNIPIAC,n/a,-3.0,3.0,-13.0,QUINNIPIAC,3.0
BASKETBALL,CBB,MERCYHURST,STONEHILL,n/a,2.0,-2.0,7.0,MERCYHURST,2.0
BASKETBALL,CBB,OHIO STATE,MICHIGAN STATE,n/a,-2.0,2.0,-7.0,MICHIGAN STATE,2.0
BASKETBALL,CBB,GEORGETOWN,XAVIER,n/a,-2.0,2.0,6.0,GEORGETOWN,-2.0
BASKETBALL,CBB,MARQUETTE,CREIGHTON,n/a,-10.0,10.0,8.0,CREIGHTON,10.0
BASKETBALL,CBB,SAINT LOUIS,SAINT JOSEPHS,n/a,-2.0,2.0,16.0,SAINT LOUIS,-2.0
BASKETBALL,CBB,NEW MEXICO,NEVADA,n/a,-5.5,5.5,1.0,NEVADA,5.5
BASKETBALL,NBA,MIN TIMBERWOLVES,BOS CELTICS,n/a,4.5,-4.5,-3.0,MIN TIMBERWOLVES,4.5
BASKETBALL,NBA,MIA HEAT,IND PACERS,n/a,-2.0,2.0,-13.0,IND PACERS,2.0
BASKETBALL,NBA,OKC THUNDER,LA CLIPPERS,n/a,-11.0,11.0,18.0,OKC THUNDER,-11.0
BASKETBALL,NBA,MIL BUCKS,BKN NETS,n/a,-13.0,13.0,-3.0,BKN NETS,13.0
BASKETBALL,NBA,GS WARRIORS,PHI 76ERS,n/a,-3.0,3.0,34.0,GS WARRIORS,-3.0
BASKETBALL,NBA,LA LAKERS,POR TRAIL BLAZERS,n/a,-9.0,9.0,8.0,POR TRAIL BLAZERS,9.0
BASKETBALL,NBA,WAS WIZARDS,CHI BULLS,n/a,6.0,-6.0,18.0,WAS WIZARDS,6.0
BASKETBALL,NBA,DET PISTONS,ORL MAGIC,n/a,-2.5,2.5,9.0,DET PISTONS,-2.5
BASKETBALL,NBA,NY KNICKS,UTA JAZZ,n/a,-12.5,12.5,16.0,NY KNICKS,-12.5
BASKETBALL,NBA,MIA HEAT,NO PELICANS,n/a,-9.0,9.0,11.0,MIA HEAT,-9.0
BASKETBALL,NBA,TOR RAPTORS,BKN NETS,n/a,-1.5,1.5,17.0,TOR RAPTORS,-1.5
BASKETBALL,NBA,HOU ROCKETS,DAL MAVERICKS,n/a,-5.5,5.5,11.0,HOU ROCKETS,-5.5
BASKETBALL,NBA,DEN NUGGETS,ATL HAWKS,n/a,-7.5,7.5,19.0,DEN NUGGETS,-7.5
BASKETBALL,NBA,SAC KINGS,PHI 76ERS,n/a,-6.5,6.5,6.0,PHI 76ERS,6.5
BASKETBALL,NBA,IND PACERS,MIL BUCKS,n/a,-1.5,1.5,-8.0,MIL BUCKS,1.5
BASKETBALL,NBA,BOS CELTICS,TOR RAPTORS,n/a,-17.5,17.5,54.0,BOS CELTICS,-17.5
BASKETBALL,NBA,SA SPURS,LA CLIPPERS,n/a,-4.0,4.0,36.0,SA SPURS,-4.0
BASKETBALL,NBA,OKC THUNDER,MIN TIMBERWOLVES,n/a,-7.0,7.0,8.0,OKC THUNDER,-7.0
BASKETBALL,NBA,LA LAKERS,CLE CAVALIERS,n/a,5.0,-5.0,-12.0,CLE CAVALIERS,-5.0
BASKETBALL,NBA,PHO SUNS,MEM GRIZZLIES,n/a,-5.0,5.0,-5.0,MEM GRIZZLIES,5.0
FOOTBALL,NFL,SF 49ERS,DET LIONS,n/a,3.5,-3.5,-6.0,DET LIONS,-3.5
BASKETBALL,NBA,WAS WIZARDS,NY KNICKS,n/a,12.5,-12.5,-20.0,NY KNICKS,-12.5
BASKETBALL,NBA,CHA HORNETS,CHI BULLS,n/a,5.0,-5.0,-7.0,CHI BULLS,-5.0
BASKETBALL,NBA,NO PELICANS,LA CLIPPERS,n/a,4.5,-4.5,-3.0,NO PELICANS,4.5
BASKETBALL,NBA,UTA JAZZ,DEN NUGGETS,n/a,7.5,-7.5,-11.0,DEN NUGGETS,-7.5
BASKETBALL,NBA,GS WARRIORS,CLE CAVALIERS,n/a,4.0,-4.0,-18.0,CLE CAVALIERS,-4.0
BASKETBALL,NBA,POR TRAIL BLAZERS,PHI 76ERS,n/a,6.5,-6.5,-22.0,PHI 76ERS,-6.5
BASKETBALL,NBA,SAC KINGS,DAL MAVERICKS,n/a,-4.0,4.0,10.0,SAC KINGS,-4.0
BASKETBALL,NBA,BOS CELTICS,IND PACERS,n/a,-10.5,10.5,-9.0,IND PACERS,10.5
BASKETBALL,NBA,TOR RAPTORS,ATL HAWKS,n/a,-1.0,1.0,-29.0,ATL HAWKS,1.0
BASKETBALL,NBA,OKC THUNDER,MEM GRIZZLIES,n/a,-8.0,8.0,24.0,OKC THUNDER,-8.0
BASKETBALL,NBA,HOU ROCKETS,MIA HEAT,n/a,-9.0,9.0,-4.0,MIA HEAT,9.0
BASKETBALL,NBA,MIN TIMBERWOLVES,SA SPURS,n/a,-6.5,6.5,2.0,SA SPURS,6.5
FOOTBALL,NFL,BUF BILLS,NY JETS,n/a,-10.0,10.0,26.0,BUF BILLS,-10.0
FOOTBALL,NFL,NY GIANTS,IND COLTS,n/a,7.0,-7.0,12.0,NY GIANTS,7.0
FOOTBALL,NFL,TB BUCCANEERS,CAR PANTHERS,n/a,-8.5,8.5,34.0,TB BUCCANEERS,-8.5
FOOTBALL,NFL,PHI EAGLES,DAL COWBOYS,n/a,-7.5,7.5,34.0,PHI EAGLES,-7.5
FOOTBALL,NFL,NO SAINTS,LV RAIDERS,n/a,1.5,-1.5,-15.0,LV RAIDERS,-1.5
FOOTBALL,NFL,JAX JAGUARS,TEN TITANS,n/a,1.0,-1.0,7.0,JAX JAGUARS,1.0
FOOTBALL,NFL,CLE BROWNS,MIA DOLPHINS,n/a,3.0,-3.0,-17.0,MIA DOLPHINS,-3.0
FOOTBALL,NFL,MIN VIKINGS,GB PACKERS,n/a,-1.5,1.5,2.0,MIN VIKINGS,-1.5
FOOTBALL,NFL,WAS COMMANDERS,ATL FALCONS,n/a,-3.5,3.5,6.0,WAS COMMANDERS,-3.5
FOOTBALL,NFL,NE PATRIOTS,LA CHARGERS,n/a,6.0,-6.0,-33.0,LA CHARGERS,-6.0
FOOTBALL,NFL,CIN BENGALS,DEN BRONCOS,n/a,-3.5,3.5,6.0,CIN BENGALS,-3.5
FOOTBALL,NFL,LA RAMS,ARI CARDINALS,n/a,-6.5,6.5,4.0,ARI CARDINALS,6.5
BASKETBALL,NBA,ATL HAWKS,MIA HEAT,n/a,-2.0,2.0,10.0,ATL HAWKS,-2.0
BASKETBALL,NBA,CHA HORNETS,OKC THUNDER,n/a,12.5,-12.5,-12.0,CHA HORNETS,12.5
BASKETBALL,NBA,WAS WIZARDS,NY KNICKS,n/a,12.0,-12.0,-4.0,WAS WIZARDS,12.0
BASKETBALL,NBA,CHI BULLS,MIL BUCKS,n/a,3.5,-3.5,5.0,CHI BULLS,3.5
BASKETBALL,NBA,GS WARRIORS,PHO SUNS,n/a,-6.5,6.5,4.0,PHO SUNS,6.5
BASKETBALL,NBA,DEN NUGGETS,DET PISTONS,n/a,-5.5,5.5,13.0,DEN NUGGETS,-5.5
BASKETBALL,NBA,UTA JAZZ,PHI 76ERS,n/a,5.5,-5.5,-3.0,UTA JAZZ,5.5
BASKETBALL,NBA,POR TRAIL BLAZERS,DAL MAVERICKS,n/a,5.0,-5.0,4.0,POR TRAIL BLAZERS,5.0
BASKETBALL,NBA,LA LAKERS,SAC KINGS,n/a,-1.0,1.0,10.0,LA LAKERS,-1.0
FOOTBALL,CFB,VANDERBILT,GEORGIA TECH,n/a,2.5,-2.5,8.0,VANDERBILT,2.5
FOOTBALL,CFB,ARKANSAS,TEXAS TECH,n/a,2.5,-2.5,13.0,ARKANSAS,2.5
FOOTBALL,CFB,USC,TEXAS A&M,n/a,3.5,-3.5,4.0,USC,3.5
BASKETBALL,NBA,ORL MAGIC,NY KNICKS,n/a,7.0,-7.0,-23.0,NY KNICKS,-7.0
BASKETBALL,NBA,BOS CELTICS,IND PACERS,n/a,-11.5,11.5,37.0,BOS CELTICS,-11.5
BASKETBALL,NBA,BKN NETS,SA SPURS,n/a,7.5,-7.5,-9.0,SA SPURS,-7.5
BASKETBALL,NBA,HOU ROCKETS,MIN TIMBERWOLVES,n/a,-1.0,1.0,-1.0,MIN TIMBERWOLVES,1.0
BASKETBALL,NBA,NO PELICANS,MEM GRIZZLIES,n/a,8.5,-8.5,-8.0,NO PELICANS,8.5
BASKETBALL,NBA,DEN NUGGETS,CLE CAVALIERS,n/a,3.0,-3.0,-14.0,CLE CAVALIERS,-3.0
BASKETBALL,NBA,PHO SUNS,DAL MAVERICKS,n/a,-1.0,1.0,-9.0,DAL MAVERICKS,1.0
BASKETBALL,NBA,LA CLIPPERS,GS WARRIORS,n/a,-4.5,4.5,10.0,LA CLIPPERS,-4.5
FOOTBALL,CFB,BOWLING GREEN,ARKANSAS STATE,n/a,-10.0,10.0,-7.0,ARKANSAS STATE,10.0
BASKETBALL,NBA,IND PACERS,OKC THUNDER,n/a,5.0,-5.0,-6.0,OKC THUNDER,-5.0
BASKETBALL,NBA,ORL MAGIC,MIA HEAT,n/a,-1.5,1.5,-1.0,MIA HEAT,1.5
BASKETBALL,NBA,WAS WIZARDS,CHA HORNETS,n/a,4.5,-4.5,3.0,WAS WIZARDS,4.5
BASKETBALL,NBA,ATL HAWKS,CHI BULLS,n/a,-6.0,6.0,8.0,ATL HAWKS,-6.0
BASKETBALL,NBA,MIL BUCKS,BKN NETS,n/a,-9.5,9.5,-6.0,BKN NETS,9.5
BASKETBALL,NBA,NO PELICANS,HOU ROCKETS,n/a,7.5,-7.5,-17.0,HOU ROCKETS,-7.5
BASKETBALL,NBA,MEM GRIZZLIES,TOR RAPTORS,n/a,-11.5,11.5,29.0,MEM GRIZZLIES,-11.5
BASKETBALL,NBA,SAC KINGS,DET PISTONS,n/a,-5.5,5.5,-1.0,DET PISTONS,5.5
BASKETBALL,NBA,POR TRAIL BLAZERS,UTA JAZZ,n/a,-3.0,3.0,2.0,UTA JAZZ,3.0
FOOTBALL,NFL,CHI BEARS,SEA SEAHAWKS,n/a,5.0,-5.0,-3.0,CHI BEARS,-5.0
BASKETBALL,CBB,MURRAY STATE,LOYOLA CHICAGO,n/a,2.0,-2.0,3.0,MURRAY STATE,2.0
BASKETBALL,CBB,CHARLOTTE,CHARLESTON,n/a,6.5,-6.5,-3.0,CHARLOTTE,6.5
BASKETBALL,CBB,HAWAII,OAKLAND,n/a,-3.5,3.5,3.0,OAKLAND,3.5
BASKETBALL,CBB,NEBRASKA,OREGON STATE,n/a,-4.0,4.0,12.0,NEBRASKA,-4.0
FOOTBALL,NFL,KC CHIEFS,PIT STEELERS,n/a,2.5,-2.5,-19.0,KC CHIEFS,-2.5
FOOTBALL,NFL,HOU TEXANS,BAL RAVENS,n/a,5.5,-5.5,-29.0,BAL RAVENS,-5.5
BASKETBALL,NBA,NY KNICKS,SA SPURS,n/a,-9.0,9.0,3.0,SA SPURS,9.0
BASKETBALL,NBA,DAL MAVERICKS,MIN TIMBERWOLVES,n/a,-5.5,5.5,-6.0,MIN TIMBERWOLVES,5.5
BASKETBALL,NBA,BOS CELTICS,PHI 76ERS,n/a,-8.5,8.5,-4.0,PHI 76ERS,8.5
BASKETBALL,NBA,GS WARRIORS,LA LAKERS,n/a,-4.0,4.0,-2.0,LA LAKERS,4.0
BASKETBALL,NBA,PHO SUNS,DEN NUGGETS,n/a,2.5,-2.5,10.0,PHO SUNS,2.5
FOOTBALL,CFB,SAN JOSE STATE,SOUTH FLORIDA,n/a,-2.5,2.5,-2.0,SOUTH FLORIDA,2.5
FOOTBALL,CFB,UTSA,COASTAL CAROLINA,n/a,-13.5,13.5,29.0,UTSA,-13.5
FOOTBALL,CFB,FRESNO STATE,NORTHERN ILLINOIS,n/a,3.5,-3.5,-8.0,NORTHERN ILLINOIS,-3.5
FOOTBALL,NFL,GB PACKERS,NO SAINTS,n/a,-14.0,14.0,34.0,GB PACKERS,-14.0
BASKETBALL,CBB,LOYOLA CHICAGO,CHARLESTON,n/a,-2.0,2.0,-9.0,CHARLESTON,2.0
BASKETBALL,CBB,TENNESSEE,MIDDLE TENNESSEE,n/a,-26.5,26.5,18.0,MIDDLE TENNESSEE,26.5
BASKETBALL,CBB,NORTH DAKOTA STATE,CSU BAKERSFIELD,n/a,-11.0,11.0,34.0,NORTH DAKOTA STATE,-11.0
BASKETBALL,CBB,OAKLAND,OREGON STATE,n/a,9.0,-9.0,-6.0,OAKLAND,9.0
BASKETBALL,CBB,WASHINGTON,SEATTLE,n/a,-12.0,12.0,-9.0,SEATTLE,12.0
BASKETBALL,CBB,HAWAII,NEBRASKA,n/a,8.5,-8.5,-14.0,NEBRASKA,-8.5
BASKETBALL,CBB,CHARLOTTE,MURRAY STATE,n/a,6.5,-6.5,4.0,CHARLOTTE,6.5
BASKETBALL,NBA,ORL MAGIC,BOS CELTICS,n/a,10.0,-10.0,4.0,ORL MAGIC,10.0
BASKETBALL,NBA,CLE CAVALIERS,UTA JAZZ,n/a,-14.0,14.0,11.0,UTA JAZZ,14.0
BASKETBALL,NBA,PHI 76ERS,SA SPURS,n/a,-5.5,5.5,5.0,SA SPURS,5.5
BASKETBALL,NBA,CHA HORNETS,HOU ROCKETS,n/a,6.0,-6.0,-13.0,HOU ROCKETS,-6.0
BASKETBALL,NBA,MIA HEAT,BKN NETS,n/a,-10.0,10.0,15.0,MIA HEAT,-10.0
BASKETBALL,NBA,ATL HAWKS,MIN TIMBERWOLVES,n/a,3.5,-3.5,13.0,ATL HAWKS,3.5
BASKETBALL,NBA,NY KNICKS,TOR RAPTORS,n/a,-14.0,14.0,14.0,BOTH,""
BASKETBALL,NBA,MEM GRIZZLIES,LA CLIPPERS,n/a,-6.0,6.0,-4.0,LA CLIPPERS,6.0
BASKETBALL,NBA,CHI BULLS,MIL BUCKS,n/a,1.5,-1.5,-21.0,MIL BUCKS,-1.5
BASKETBALL,NBA,OKC THUNDER,WAS WIZARDS,n/a,-18.0,18.0,18.0,BOTH,""
BASKETBALL,NBA,DAL MAVERICKS,POR TRAIL BLAZERS,n/a,-10.0,10.0,24.0,DAL MAVERICKS,-10.0
BASKETBALL,NBA,GS WARRIORS,IND PACERS,n/a,-5.5,5.5,-6.0,IND PACERS,5.5
BASKETBALL,NBA,DEN NUGGETS,PHO SUNS,n/a,-5.0,5.0,27.0,DEN NUGGETS,-5.0
BASKETBALL,NBA,LA LAKERS,DET PISTONS,n/a,-6.0,6.0,-3.0,DET PISTONS,6.0
FOOTBALL,NFL,CHI BEARS,DET LIONS,n/a,7.0,-7.0,-17.0,DET LIONS,-7.0
FOOTBALL,NFL,CIN BENGALS,CLE BROWNS,n/a,-9.5,9.5,18.0,CIN BENGALS,-9.5
FOOTBALL,NFL,WAS COMMANDERS,PHI EAGLES,n/a,4.0,-4.0,3.0,WAS COMMANDERS,4.0
FOOTBALL,NFL,NY JETS,LA RAMS,n/a,3.0,-3.0,-10.0,LA RAMS,-3.0
FOOTBALL,NFL,ATL FALCONS,NY GIANTS,n/a,-9.0,9.0,27.0,ATL FALCONS,-9.0
FOOTBALL,NFL,CAR PANTHERS,ARI CARDINALS,n/a,5.0,-5.0,6.0,CAR PANTHERS,5.0
FOOTBALL,NFL,IND COLTS,TEN TITANS,n/a,-3.5,3.5,8.0,IND COLTS,-3.5
FOOTBALL,NFL,SEA SEAHAWKS,MIN VIKINGS,n/a,3.0,-3.0,-3.0,BOTH,""
FOOTBALL,NFL,BUF BILLS,NE PATRIOTS,n/a,-14.0,14.0,3.0,NE PATRIOTS,14.0
FOOTBALL,NFL,MIA DOLPHINS,SF 49ERS,n/a,1.5,-1.5,12.0,MIA DOLPHINS,1.5
FOOTBALL,NFL,LV RAIDERS,JAX JAGUARS,n/a,-2.5,2.5,5.0,LV RAIDERS,-2.5
FOOTBALL,NFL,DAL COWBOYS,TB BUCCANEERS,n/a,4.5,-4.5,2.0,DAL COWBOYS,4.5
BASKETBALL,NBA,TOR RAPTORS,HOU ROCKETS,n/a,8.0,-8.0,-4.0,TOR RAPTORS,8.0
BASKETBALL,NBA,SAC KINGS,IND PACERS,n/a,-2.0,2.0,-27.0,IND PACERS,2.0
BASKETBALL,NBA,NO PELICANS,DEN NUGGETS,n/a,9.5,-9.5,-3.0,NO PELICANS,9.5
BASKETBALL,CBB,ALABAMA,KENT STATE,n/a,-20.5,20.5,27.0,ALABAMA,-20.5
BASKETBALL,CBB,MICHIGAN,PURDUE FORT WAYNE,n/a,-22.0,22.0,31.0,MICHIGAN,-22.0
BASKETBALL,CBB,MISSOURI,ILLINOIS,n/a,3.5,-3.5,-3.0,MISSOURI,3.5
BASKETBALL,CBB,MIAMI OH,SACRED HEART,n/a,-7.5,7.5,18.0,MIAMI OH,-7.5
BASKETBALL,CBB,STONEHILL,NEW HAMPSHIRE,n/a,-9.0,9.0,7.0,NEW HAMPSHIRE,9.0
BASKETBALL,CBB,TOWSON,BRYANT,n/a,-2.0,2.0,5.0,TOWSON,-2.0
BASKETBALL,CBB,IOWA STATE,MORGAN STATE,n/a,-43.0,43.0,27.0,MORGAN STATE,43.0
BASKETBALL,CBB,OKLAHOMA,CENTRAL ARKANSAS,n/a,-26.5,26.5,23.0,CENTRAL ARKANSAS,26.5
BASKETBALL,CBB,TCU,MONTANA STATE,n/a,-11.0,11.0,34.0,TCU,-11.0
BASKETBALL,CBB,VCU,WILLIAM & MARY,n/a,-18.5,18.5,20.0,VCU,-18.5
BASKETBALL,CBB,GEORGE MASON,PENNSYLVANIA,n/a,-16.0,16.0,32.0,GEORGE MASON,-16.0
BASKETBALL,CBB,SOUTH CAROLINA,RADFORD,n/a,-13.5,13.5,26.0,SOUTH CAROLINA,-13.5
BASKETBALL,CBB,WISCONSIN,DETROIT MERCY,n/a,-29.0,29.0,23.0,DETROIT MERCY,29.0
BASKETBALL,CBB,MISSOURI STATE,UC SANTA BARBARA,n/a,-2.5,2.5,12.0,MISSOURI STATE,-2.5
BASKETBALL,CBB,VIRGINIA,AMERICAN,n/a,-13.5,13.5,5.0,AMERICAN,13.5
BASKETBALL,CBB,WEST VIRGINIA,MERCYHURST,n/a,-32.0,32.0,21.0,MERCYHURST,32.0
BASKETBALL,CBB,KANSAS,BROWN,n/a,-24.0,24.0,34.0,KANSAS,-24.0
BASKETBALL,CBB,OKLAHOMA STATE,ORAL ROBERTS,n/a,-20.0,20.0,12.0,ORAL ROBERTS,20.0
BASKETBALL,CBB,CHARLESTON,OREGON STATE,n/a,6.0,-6.0,-9.0,OREGON STATE,-6.0
BASKETBALL,CBB,UAB,ALCORN,n/a,-21.5,21.5,17.0,ALCORN,21.5
BASKETBALL,CBB,RICE,PRAIRIE VIEW,n/a,-13.5,13.5,18.0,RICE,-13.5
BASKETBALL,CBB,NORTH TEXAS,HOUSTON CHRISTIAN,n/a,-23.0,23.0,16.0,HOUSTON CHRISTIAN,23.0
BASKETBALL,CBB,LOUISIANA,MCNEESE,n/a,10.5,-10.5,-8.0,LOUISIANA,10.5
BASKETBALL,CBB,LSU,NEW ORLEANS,n/a,-27.5,27.5,16.0,NEW ORLEANS,27.5
BASKETBALL,CBB,GEORGIA,CHARLESTON SOUTHERN,n/a,-27.5,27.5,16.0,CHARLESTON SOUTHERN,27.5
BASKETBALL,CBB,GRAND CANYON,SAINT LOUIS,n/a,-9.5,9.5,1.0,SAINT LOUIS,9.5
BASKETBALL,CBB,NC STATE,RIDER,n/a,-20.0,20.0,26.0,NC STATE,-20.0
BASKETBALL,CBB,USC,SOUTHERN UNIVERSITY,n/a,-17.0,17.0,31.0,USC,-17.0
BASKETBALL,CBB,CINCINNATI,GRAMBLING,n/a,-29.5,29.5,35.0,CINCINNATI,-29.5
BASKETBALL,CBB,OAKLAND,LOYOLA CHICAGO,n/a,6.5,-6.5,1.0,OAKLAND,6.5
BASKETBALL,CBB,CAL STATE FULLERTON,WYOMING,n/a,5.0,-5.0,-4.0,CAL STATE FULLERTON,5.0
BASKETBALL,CBB,SETON HALL,GEORGETOWN,n/a,2.5,-2.5,-1.0,SETON HALL,2.5
BASKETBALL,CBB,LOYOLA MARYMOUNT,NORTH ALABAMA,n/a,-5.0,5.0,16.0,LOYOLA MARYMOUNT,-5.0
BASKETBALL,CBB,SAINT MARYS,UTAH STATE,n/a,-5.0,5.0,-7.0,UTAH STATE,5.0
BASKETBALL,CBB,MURRAY STATE,NEBRASKA,n/a,9.0,-9.0,-17.0,NEBRASKA,-9.0
BASKETBALL,CBB,HAWAII,CHARLOTTE,n/a,-6.0,6.0,17.0,HAWAII,-6.0
FOOTBALL,NFL,KC CHIEFS,HOU TEXANS,n/a,-3.5,3.5,8.0,KC CHIEFS,-3.5
FOOTBALL,NFL,BAL RAVENS,PIT STEELERS,n/a,-6.5,6.5,17.0,BAL RAVENS,-6.5
BASKETBALL,NBA,SAC KINGS,LA LAKERS,n/a,-6.0,6.0,-4.0,LA LAKERS,6.0
BASKETBALL,NBA,ORL MAGIC,MIA HEAT,n/a,-3.5,3.5,7.0,ORL MAGIC,-3.5
BASKETBALL,NBA,ATL HAWKS,MEM GRIZZLIES,n/a,1.5,-1.5,-16.0,MEM GRIZZLIES,-1.5
BASKETBALL,NBA,BKN NETS,UTA JAZZ,n/a,-2.5,2.5,-11.0,UTA JAZZ,2.5
BASKETBALL,NBA,NO PELICANS,NY KNICKS,n/a,8.0,-8.0,-11.0,NY KNICKS,-8.0
BASKETBALL,NBA,CHI BULLS,BOS CELTICS,n/a,11.5,-11.5,-25.0,BOS CELTICS,-11.5
BASKETBALL,NBA,MIL BUCKS,WAS WIZARDS,n/a,-11.5,11.5,11.0,WAS WIZARDS,11.5
BASKETBALL,NBA,MIN TIMBERWOLVES,GS WARRIORS,n/a,-3.0,3.0,-10.0,GS WARRIORS,3.0
BASKETBALL,NBA,CLE CAVALIERS,PHI 76ERS,n/a,-11.0,11.0,27.0,CLE CAVALIERS,-11.0
BASKETBALL,NBA,DAL MAVERICKS,LA CLIPPERS,n/a,-3.5,3.5,16.0,DAL MAVERICKS,-3.5
