Sport,League,Home_Team,Away_Team,Scenario,Home_Line,Away_Line,Actual_Point_Diff,Who_Covered,Winning_Line
BASKETBALL,NBA,SA SPURS,POR TRAIL BLAZERS,n/a,-7.0,7.0,20.0,SA SPURS,-7.0
BASKETBALL,NBA,PHO SUNS,DET PISTONS,n/a,-6.0,6.0,-8.0,DET PISTONS,6.0
FOOTBALL,CFB,PENN STATE,SMU,n/a,-8.0,8.0,28.0,PENN STATE,-8.0
FOOTBALL,CFB,TEXAS,CLEMSON,n/a,-13.5,13.5,14.0,TEXAS,-13.5
FOOTBALL,CFB,OHIO STATE,TENNESSEE,n/a,-7.0,7.0,25.0,OHIO STATE,-7.0
BASKETBALL,CBB,BUTLER,UCONN,n/a,9.5,-9.5,-4.0,BUTLER,9.5
BASKETBALL,CBB,XAVIER,MARQUETTE,n/a,5.5,-5.5,-2.0,XAVIER,5.5
BASKETBALL,CBB,GEORGIA TECH,DUKE,n/a,15.0,-15.0,-26.0,DUKE,-15.0
BASKETBALL,CBB,RUTGERS,PRINCETON,n/a,-6.0,6.0,-1.0,PRINCETON,6.0
BASKETBALL,CBB,BOSTON COLLEGE,SMU,n/a,8.5,-8.5,-26.0,SMU,-8.5
BASKETBALL,CBB,INDIANA,CHATTANOOGA,n/a,-14.5,14.5,9.0,CHATTANOOGA,14.5
BASKETBALL,CBB,DREXEL,PENN STATE,n/a,15.5,-15.5,-11.0,DREXEL,15.5
BASKETBALL,CBB,VIRGINIA TECH,SAINT JOSEPHS,n/a,4.5,-4.5,-20.0,SAINT JOSEPHS,-4.5
BASKETBALL,CBB,DARTMOUTH,VERMONT,n/a,5.0,-5.0,30.0,DARTMOUTH,5.0
BASKETBALL,CBB,NORTHERN KENTUCKY,SOUTH CAROLINA STATE,n/a,-7.5,7.5,9.0,NORTHERN KENTUCKY,-7.5
BASKETBALL,CBB,FLORIDA,NORTH FLORIDA,n/a,-27.0,27.0,54.0,FLORIDA,-27.0
BASKETBALL,CBB,MEMPHIS,MISSISSIPPI STATE,n/a,1.0,-1.0,-13.0,MISSISSIPPI STATE,-1.0
BASKETBALL,CBB,PITTSBURGH,SAM HOUSTON,n/a,-17.0,17.0,32.0,PITTSBURGH,-17.0
BASKETBALL,CBB,USC UPSTATE,YOUNGSTOWN STATE,n/a,9.0,-9.0,-8.0,USC UPSTATE,9.0
BASKETBALL,CBB,MONMOUTH,FAIRFIELD,n/a,-4.0,4.0,14.0,MONMOUTH,-4.0
BASKETBALL,CBB,COPPIN STATE,NAVY,n/a,9.5,-9.5,8.0,COPPIN STATE,9.5
BASKETBALL,CBB,ROBERT MORRIS,SAINT FRANCIS PA,n/a,-8.0,8.0,13.0,ROBERT MORRIS,-8.0
BASKETBALL,CBB,LOYOLA MARYLAND,HAMPTON,n/a,-2.0,2.0,-8.0,HAMPTON,2.0
BASKETBALL,CBB,CENTAL CONNECTICUT STATE,QUINNIPIAC,n/a,-1.5,1.5,4.0,CENTRAL CONNECTICUT STATE,-1.5
BASKETBALL,CBB,TEXAS TECH,LAMAR,n/a,-24.0,24.0,44.0,TEXAS TECH,-24.0
BASKETBALL,CBB,CLEMSON,WAKE FOREST,n/a,-8.5,8.5,11.0,CLEMSON,-8.5
BASKETBALL,CBB,MICHIGAN STATE,FLORIDA ATLANTIC,n/a,-13.5,13.5,17.0,MICHIGAN STATE,-13.5
BASKETBALL,CBB,LIBERTY,UT ARLINGTON,n/a,-9.5,9.5,23.0,LIBERTY,-9.5
BASKETBALL,CBB,TROY,GEORGIA STATE,n/a,-12.5,12.5,20.0,TROY,-12.5
BASKETBALL,CBB,FLORIDA STATE,LOUISVILLE,n/a,1.0,-1.0,-14.0,LOUISVILLE,-1.0
BASKETBALL,CBB,MIAMI FL,MOUNT SAINT MARYS,n/a,-17.0,17.0,-4.0,MOUNT SAINT MARYS,17.0
BASKETBALL,CBB,WINTHROP,MERCER,n/a,-8.5,8.5,5.0,MERCER,8.5
BASKETBALL,CBB,MINNESOTA,FAIRLEIGH DICKINSON,n/a,-18.5,18.5,14.0,FAIRLEIGH DICKINSON,18.5
BASKETBALL,CBB,BOWLING GREEN,SAINT THOMAS MN,n/a,4.0,-4.0,-25.0,SAINT THOMAS MN,-4.0
BASKETBALL,CBB,UMASS LOWELL,BOSTON UNIVERSITY,n/a,-8.5,8.5,12.0,UMASS LOWELL,-8.5
BASKETBALL,CBB,BALL STATE,EVANSVILLE,n/a,-3.5,3.5,37.0,BALL STATE,-3.5
BASKETBALL,CBB,EASTERN MICHIGAN,WRIGHT STATE,n/a,5.0,-5.0,4.0,EASTERN MICHIGAN,5.0
BASKETBALL,CBB,CSUN,CHICAGO STATE,n/a,-20.0,20.0,24.0,CSUN,-20.0
BASKETBALL,CBB,SOUTH ALABAMA,JAMES MADISON,n/a,-1.0,1.0,28.0,SOUTH ALABAMA,-1.0
BASKETBALL,CBB,UNC WILMINGTON,UNC ASHEVILLE,n/a,-6.0,6.0,11.0,UNC WILMINGTON,-6.0
BASKETBALL,CBB,UMKC,ETSU,n/a,2.5,-2.5,7.0,UMKC,2.5
BASKETBALL,CBB,SOUTHERN ILLINOIS,HIGH POINT,n/a,2.5,-2.5,-13.0,HIGH POINT,-2.5
BASKETBALL,CBB,HOUSTON,A&M-CORPUS CHRISTI,n/a,-30.5,30.5,36.0,HOUSTON,-30.5
BASKETBALL,CBB,EASTERN KENTUCKY,JACKSONVILLE STATE,n/a,-1.0,1.0,-11.0,JACKSONVILLE STATE,1.0
BASKETBALL,CBB,DUQUESNE,UC IRVINE,n/a,6.5,-6.5,16.0,DUQUESNE,6.5
BASKETBALL,CBB,ARKANSAS,NORTH CAROLINA A&T,n/a,-28.0,28.0,28.0,BOTH,""
BASKETBALL,CBB,NORTH CAROLINA,UCLA,n/a,1.5,-1.5,2.0,NORTH CAROLINA,1.5
BASKETBALL,CBB,UNLV,UC RIVERSIDE,n/a,-9.5,9.5,13.0,UNLV,-9.5
BASKETBALL,CBB,HARVARD,FURMAN,n/a,2.5,-2.5,-14.0,FURMAN,-2.5
BASKETBALL,CBB,ARKANSAS STATE,COASTAL CAROLINA,n/a,-15.0,15.0,30.0,ARKANSAS STATE,-15.0
BASKETBALL,CBB,SOUTH FLORIDA,EAST TEXAS A&M,n/a,-12.5,12.5,26.0,SOUTH FLORIDA,-12.5
BASKETBALL,CBB,EAST CAROLINA,GARDNER-WEBB,n/a,-9.0,9.0,-5.0,GARDNER-WEBB,9.0
BASKETBALL,CBB,SOUTHERN MISS,MARSHALL,n/a,3.5,-3.5,2.0,SOUTHERN MISS,3.5
BASKETBALL,CBB,PEPPERDINE,UC DAVIS,n/a,1.5,-1.5,39.0,PEPPERDINE,1.5
BASKETBALL,CBB,VANDERBILT,AUSTIN PEAY,n/a,-25.0,25.0,30.0,VANDERBILT,-25.0
BASKETBALL,CBB,ULM,OLD DOMINION,n/a,1.0,-1.0,-5.0,OLD DOMINION,-1.0
BASKETBALL,CBB,COLORADO,BELLARMINE,n/a,-25.0,25.0,24.0,BELLARMINE,25.0
BASKETBALL,CBB,TULSA,MISSISSIPPI VALLEY,n/a,-26.0,26.0,45.0,TULSA,-26.0
BASKETBALL,CBB,BOISE STATE,AIR FORCE,n/a,-20.5,20.5,18.0,AIR FORCE,20.5
BASKETBALL,CBB,TEXAS STATE,GEORGIA SOUTHERN,n/a,-7.5,7.5,22.0,TEXAS STATE,-7.5
BASKETBALL,CBB,MOREHEAD STATE,TENNESSEE STATE,n/a,-3.5,3.5,6.0,MOREHEAD STATE,-3.5
BASKETBALL,CBB,CREIGHTON,VILLANOVA,n/a,-4.5,4.5,7.0,CREIGHTON,-4.5
BASKETBALL,CBB,UMASS,ARIZONA STATE,n/a,10.0,-10.0,-16.0,ARIZONA STATE,-10.0
BASKETBALL,CBB,NORTHWESTERN,DEPAUL,n/a,-6.5,6.5,20.0,NORTHWESTERN,-6.5
BASKETBALL,CBB,ALABAMA A&M,SAMFORD,n/a,15.5,-15.5,-7.0,ALABAMA A&M,15.5
BASKETBALL,CBB,WASHINGTON STATE,NORTHERN IOWA,n/a,-3.0,3.0,8.0,WASHINGTON STATE,-3.0
BASKETBALL,CBB,SOUTHERN UTAH,NORTHERN ARIZONA,n/a,-5.0,5.0,-8.0,NORTHERN ARIZONA,5.0
BASKETBALL,CBB,ARIZONA,CENTRAL MICHIGAN,n/a,-28.0,28.0,53.0,ARIZONA,-28.0
BASKETBALL,CBB,ABILENE CHRISTIAN,TEXAS SOUTHERN,n/a,-9.5,9.5,4.0,TEXAS SOUTHERN,9.5
BASKETBALL,CBB,PACIFIC,IDAHO,n/a,-4.5,4.5,-23.0,IDAHO,4.5
BASKETBALL,CBB,PORTLAND,LAFAYETTE,n/a,-3.5,3.5,10.0,PORTLAND,-3.5
BASKETBALL,CBB,AUBURN,PURDUE,n/a,-10.0,10.0,18.0,AUBURN,-10.0
BASKETBALL,CBB,SOUTHERN INDIANA,UT MARTIN,n/a,-4.5,4.5,-31.0,UT MARTIN,4.5
BASKETBALL,CBB,LINDENWOOD,WESTERN ILLINOIS,n/a,-3.0,3.0,6.0,LINDENWOOD,-3.0
BASKETBALL,CBB,SE MISSOURI STATE,SIU EDWARDSVILLE,n/a,1.0,-1.0,16.0,SE MISSOURI STATE,1.0
BASKETBALL,CBB,SANTA CLARA,SOUTH DAKOTA,n/a,-18.0,18.0,17.0,SOUTH DAKOTA,18.0
BASKETBALL,CBB,NEVADA,COLORADO STATE,n/a,-8.5,8.5,-2.0,COLORADO STATE,8.5
BASKETBALL,CBB,DAVIDSON,BETHUNE-COOKMAN,n/a,-14.0,14.0,13.0,BETHUNE-COOKMAN,14.0
BASKETBALL,CBB,DENVER,NORTHERN COLORADO,n/a,6.0,-6.0,-7.0,NORTHERN COLORADO,-6.0
BASKETBALL,CBB,OLE MISS,QUEENS NC,n/a,-26.5,26.5,18.0,QUEENS NC,26.5
BASKETBALL,CBB,FRESNO STATE,CALIFORNIA BAPTIST,n/a,3.0,-3.0,-17.0,CALIFORNIA BAPTIST,-3.0
BASKETBALL,CBB,KENTUCKY,OHIO STATE,n/a,-8.5,8.5,-20.0,OHIO STATE,8.5
BASKETBALL,CBB,SAN FRANCISCO,MONTANA,n/a,-16.0,16.0,4.0,MONTANA,16.0
BASKETBALL,CBB,RICHMOND,VMI,n/a,-12.5,12.5,7.0,VMI,12.5
BASKETBALL,CBB,IOWA,UTAH,n/a,-1.0,1.0,7.0,IOWA,-1.0
BASKETBALL,CBB,FIU,IU INDIANAPOLIS,n/a,-9.0,9.0,6.0,IU INDIANAPOLIS,9.0
BASKETBALL,CBB,UCF,JACKSONVILLE,n/a,-15.5,15.5,20.0,UCF,-15.5
BASKETBALL,CBB,DRAKE,GREEN BAY,n/a,-24.5,24.5,10.0,GREEN BAY,24.5
BASKETBALL,CBB,RHODE ISLAND,TEMPLE,n/a,-3.0,3.0,6.0,RHODE ISLAND,-3.0
BASKETBALL,CBB,WICHITA STATE,KANSAS STATE,n/a,2.5,-2.5,19.0,WICHITA STATE,2.5
BASKETBALL,CBB,ELON,UNC GREENSBORO,n/a,-1.0,1.0,4.0,ELON,-1.0
BASKETBALL,CBB,STANFORD,OREGON,n/a,5.5,-5.5,-15.0,OREGON,-5.5
BASKETBALL,CBB,OMAHA,CAL POLY,n/a,3.5,-3.5,4.0,OMAHA,3.5
BASKETBALL,CBB,SAN DIEGO,UC SAN DIEGO,n/a,14.0,-14.0,-6.0,SAN DIEGO,14.0
BASKETBALL,CBB,GONZAGA,BUCKNELL,n/a,-35.0,35.0,21.0,BUCKNELL,35.0
BASKETBALL,CBB,WEBER STATE,UTAH VALLEY,n/a,-1.0,1.0,-2.0,UTAH VALLEY,1.0
BASKETBALL,CBB,CSU BAKERSFIELD,PORTLAND STATE,n/a,-4.0,4.0,-1.0,PORTLAND STATE,4.0
BASKETBALL,CBB,SAN DIEGO STATE,CALIFORNIA,n/a,-5.0,5.0,21.0,SAN DIEGO STATE,-5.0
BASKETBALL,CBB,SAN JOSE STATE,KENNESAW STATE,n/a,-3.5,3.5,24.0,SAN JOSE STATE,-3.5
BASKETBALL,CBB,WESTERN MICHIGAN,VALPARAISO,n/a,-2.0,2.0,-3.0,VALPARAISO,2.0
BASKETBALL,CBB,TEXAS A&M,HOUSTON CHRISTIAN,n/a,-33.0,33.0,32.0,HOUSTON CHRISTIAN,33.0
BASKETBALL,CBB,GRAMBLING,NORFOLK STATE,n/a,6.0,-6.0,-6.0,BOTH,""
BASKETBALL,CBB,SEATTLE,ILLINOIS CHICAGO,n/a,-6.0,6.0,-11.0,ILLINOIS CHICAGO,6.0
BASKETBALL,CBB,PENNSYLVANIA,RIDER,n/a,-5.0,5.0,13.0,PENNSYLVANIA,-5.0
BASKETBALL,CBB,ALABAMA STATE,DELAWARE STATE,n/a,-6.0,6.0,-3.0,DELAWARE STATE,6.0
BASKETBALL,CBB,AKRON,YALE,n/a,4.5,-4.5,-16.0,YALE,-4.5
BASKETBALL,CBB,SAINT PETERS,DELAWARE,n/a,-3.0,3.0,8.0,SAINT PETERS,-3.0
BASKETBALL,CBB,NC CENTRAL,LONGWOOD,n/a,3.5,-3.5,-15.0,LONGWOOD,-3.5
BASKETBALL,CBB,NORTH TEXAS,APPALACHIAN STATE,n/a,-12.0,12.0,4.0,APPALACHIAN STATE,12.0
BASKETBALL,CBB,CINCINNATI,DAYTON,n/a,-2.5,2.5,7.0,CINCINNATI,-2.5
BASKETBALL,CBB,UTEP,JACKSON STATE,n/a,-15.0,15.0,6.0,JACKSON STATE,15.0
BASKETBALL,CBB,BYU,FLORIDA A&M,n/a,-34.0,34.0,46.0,BYU,-34.0
BASKETBALL,CBB,LOYOLA MARYMOUNT,SOUTHERN UNIVERSITY,n/a,-7.5,7.5,16.0,LOYOLA MARYMOUNT,-7.5
BASKETBALL,NBA,PHI 76ERS,CHA HORNETS,n/a,-12.5,12.5,10.0,CHA HORNETS,12.5
BASKETBALL,NBA,CLE CAVALIERS,MIL BUCKS,n/a,-9.0,9.0,23.0,CLE CAVALIERS,-9.0
BASKETBALL,NBA,MIA HEAT,OKC THUNDER,n/a,1.5,-1.5,-7.0,OKC THUNDER,-1.5
FOOTBALL,CFB,JACKSONVILLE STATE,OHIO,n/a,6.5,-6.5,-3.0,JACKSONVILLE STATE,6.5
FOOTBALL,CFB,FLORIDA,TULANE,n/a,-10.5,10.5,25.0,FLORIDA,-10.5
FOOTBALL,CFB,NOTRE DAME,INDIANA,n/a,-7.0,7.0,10.0,NOTRE DAME,-7.0
FOOTBALL,CFB,SAM HOUSTON,GEORGIA SOUTHERN,n/a,4.0,-4.0,5.0,SAM HOUSTON,4.0
FOOTBALL,NFL,LA CHARGERS,DEN BRONCOS,n/a,-2.5,2.5,7.0,LA CHARGERS,-2.5
BASKETBALL,NBA,ORL MAGIC,OKC THUNDER,n/a,6.5,-6.5,-6.0,ORL MAGIC,6.5
BASKETBALL,NBA,DET PISTONS,UTA JAZZ,n/a,-4.5,4.5,-7.0,UTA JAZZ,4.5
BASKETBALL,NBA,WAS WIZARDS,CHA HORNETS,n/a,4.5,-4.5,9.0,WAS WIZARDS,4.5
BASKETBALL,NBA,BOS CELTICS,CHI BULLS,n/a,-14.0,14.0,-9.0,CHI BULLS,14.0
BASKETBALL,NBA,TOR RAPTORS,BKN NETS,n/a,-2.5,2.5,-7.0,BKN NETS,2.5
BASKETBALL,NBA,HOU ROCKETS,NO PELICANS,n/a,-9.0,9.0,20.0,HOU ROCKETS,-9.0
BASKETBALL,NBA,MEM GRIZZLIES,GS WARRIORS,n/a,-2.0,2.0,51.0,MEM GRIZZLIES,-2.0
BASKETBALL,NBA,SA SPURS,ATL HAWKS,n/a,-1.5,1.5,7.0,SA SPURS,-1.5
BASKETBALL,NBA,DAL MAVERICKS,LA CLIPPERS,n/a,-4.0,4.0,-23.0,LA CLIPPERS,4.0
BASKETBALL,NBA,PHO SUNS,IND PACERS,n/a,-6.0,6.0,-9.0,IND PACERS,6.0
BASKETBALL,NBA,MIN TIMBERWOLVES,NY KNICKS,n/a,-2.5,2.5,-26.0,NY KNICKS,2.5
BASKETBALL,NBA,POR TRAIL BLAZERS,DEN NUGGETS,n/a,8.0,-8.0,2.0,POR TRAIL BLAZERS,8.0
BASKETBALL,NBA,SAC KINGS,LA LAKERS,n/a,-5.5,5.5,-13.0,LA LAKERS,5.5
BASKETBALL,CBB,NORFOLK STATE,ALABAMA STATE,n/a,-5.0,5.0,17.0,NORFOLK STATE,-5.0
BASKETBALL,CBB,CLEVELAND STATE,OAKLAND,n/a,2.0,-2.0,17.0,CLEVELAND STATE,2.0
BASKETBALL,CBB,DELAWARE STATE,GRAMBLING,n/a,4.5,-4.5,13.0,DELAWARE STATE,4.5
BASKETBALL,CBB,MOREHEAD STATE,UT MARTIN,n/a,-5.0,5.0,1.0,UT MARTIN,5.0
BASKETBALL,CBB,BELMONT,UC IRVINE,n/a,2.0,-2.0,-8.0,UC IRVINE,-2.0
BASKETBALL,CBB,MIDDLE TENNESSEE,LIPSCOMB,n/a,-1.5,1.5,2.0,MIDDLE TENNESSEE,-1.5
BASKETBALL,CBB,TEXAS,NEW ORLEANS,n/a,-34.0,34.0,36.0,TEXAS,-34.0
BASKETBALL,CBB,LITTLE ROCK,SIU EDWARDSVILLE,n/a,-3.0,3.0,4.0,LITTLE ROCK,-3.0
BASKETBALL,CBB,WYOMING,BELLARMINE,n/a,-13.5,13.5,37.0,WYOMING,-13.5
BASKETBALL,CBB,SOUTHERN INDIANA,TENNESSEE STATE,n/a,-4.5,4.5,2.0,TENNESSEE STATE,4.5
BASKETBALL,CBB,SE MISSOURI STATE,EASTERN ILLINOIS,n/a,-4.5,4.5,7.0,SE MISSOURI STATE,-4.5
BASKETBALL,CBB,LINDENWOOD,TENNESSEE TECH,n/a,-2.5,2.5,-6.0,TENNESSEE TECH,2.5
BASKETBALL,CBB,UTAH TECH,SOUTH DAKOTA,n/a,3.0,-3.0,5.0,UTAH TECH,3.0
BASKETBALL,CBB,PEPPERDINE,LONG BEACH STATE,n/a,-6.0,6.0,-3.0,LONG BEACH STATE,6.0
BASKETBALL,CBB,GRAND CANYON,CHICAGO STATE,n/a,-30.0,30.0,23.0,CHICAGO STATE,30.0
BASKETBALL,CBB,SAINT MARYS,MERRIMACK,n/a,-20.5,20.5,5.0,MERRIMACK,20.5
BASKETBALL,CBB,EAST TEXAS A&M,ABILENE CHRISTIAN,n/a,9.5,-9.5,1.0,EAST TEXAS A&M,9.5
BASKETBALL,CBB,UMASS LOWELL,STONEHILL,n/a,-14.0,14.0,11.0,STONEHILL,14.0
BASKETBALL,CBB,USC UPSTATE,SOUTH CAROLINA STATE,n/a,1.5,-1.5,-15.0,SOUTH CAROLINA STATE,-1.5
BASKETBALL,CBB,GEORGETOWN,CREIGHTON,n/a,4.5,-4.5,24.0,GEORGETOWN,4.5
BASKETBALL,CBB,LA SALLE,FAIRLEIGH DICKINSON,n/a,-13.5,13.5,5.0,FAIRLEIGH DICKINSON,13.5
BASKETBALL,CBB,VIRGINIA,MEMPHIS,n/a,3.5,-3.5,-2.0,VIRGINIA,3.5
BASKETBALL,CBB,UCONN,XAVIER,n/a,-13.0,13.0,5.0,XAVIER,13.0
BASKETBALL,CBB,TEMPLE,DAVIDSON,n/a,-1.5,1.5,1.0,DAVIDSON,1.5
BASKETBALL,CBB,SAINT JOSEPHS,AMERICAN,n/a,-14.0,14.0,27.0,SAINT JOSEPHS,-14.0
BASKETBALL,CBB,OHIO,AUSTIN PEAY,n/a,-14.0,14.0,20.0,OHIO,-14.0
BASKETBALL,CBB,NORTHERN KENTUCKY,DETROIT MERCY,n/a,-13.5,13.5,13.0,DETROIT MERCY,13.5
BASKETBALL,CBB,SOUTH FLORIDA,BETHUNE-COOKMAN,n/a,-11.5,11.5,-8.0,BETHUNE-COOKMAN,11.5
BASKETBALL,CBB,UMASS,NORTHEASTERN,n/a,-3.0,3.0,5.0,UMASS,-3.0
BASKETBALL,CBB,WRIGHT STATE,YOUNGSTOWN STATE,n/a,-6.5,6.5,-10.0,YOUNGSTOWN STATE,6.5
BASKETBALL,CBB,GEORGE WASHINGTON,LAFAYETTE,n/a,-12.5,12.5,20.0,GEORGE WASHINGTON,-12.5
BASKETBALL,CBB,INDIANA STATE,MURRAY STATE,n/a,3.0,-3.0,10.0,INDIANA STATE,3.0
BASKETBALL,CBB,UNC WILMINGTON,FLORIDA GULF COAST,n/a,-6.5,6.5,13.0,UNC WILMINGTON,-6.5
BASKETBALL,CBB,ETSU,ELON,n/a,-3.5,3.5,26.0,ETSU,-3.5
BASKETBALL,CBB,VERMONT,MIAMI OH,n/a,-5.0,5.0,8.0,VERMONT,-5.0
BASKETBALL,CBB,WILLIAM & MARY,RICHMOND,n/a,-2.5,2.5,6.0,WILLIAM & MARY,-2.5
BASKETBALL,CBB,FAIRFIELD,CENTRAL CONNECTICUT STATE,n/a,1.0,-1.0,-1.0,BOTH,""
BASKETBALL,CBB,QUEENS NC,MERCER,n/a,-1.0,1.0,7.0,QUEENS NC,-1.0
BASKETBALL,CBB,CAMPBELL,LONGWOOD,n/a,3.0,-3.0,-22.0,LONGWOOD,-3.0
BASKETBALL,CBB,GEORGIA TECH,UMBC,n/a,-15.5,15.5,9.0,UMBC,15.5
BASKETBALL,CBB,UAB,ALABAMA A&M,n/a,-22.5,22.5,29.0,UAB,-22.5
BASKETBALL,CBB,UT RIO GRANDE VALLEY,SOUTHERN UTAH,n/a,-1.5,1.5,5.0,UT RIO GRANDE VALLEY,-1.5
BASKETBALL,CBB,HOUSTON,TOLEDO,n/a,-29.0,29.0,29.0,BOTH,""
BASKETBALL,CBB,SAINT LOUIS,WOFFORD,n/a,-8.0,8.0,-3.0,WOFFORD,8.0
BASKETBALL,CBB,ILLINOIS STATE,NORTHERN ILLINOIS,n/a,-13.5,13.5,21.0,ILLINOIS STATE,-13.5
BASKETBALL,CBB,OKLAHOMA STATE,TARLETON STATE,n/a,-21.0,21.0,5.0,TARLETON STATE,21.0
BASKETBALL,CBB,BRADLEY,SAN FRANCISCO,n/a,-1.5,1.5,2.0,BRADLEY,-1.5
BASKETBALL,CBB,UT ARLINGTON,EVANSVILLE,n/a,-8.0,8.0,26.0,UT ARLINGTON,-8.0
BASKETBALL,CBB,LOUISIANA,APPALACHIAN STATE,n/a,1.5,-1.5,6.0,LOUISIANA,1.5
BASKETBALL,CBB,VANDERBILT,THE CITADEL,n/a,-29.0,29.0,52.0,VANDERBILT,-29.0
BASKETBALL,CBB,MARQUETTE,BUTLER,n/a,-14.0,14.0,10.0,BUTLER,14.0
BASKETBALL,CBB,OKLAHOMA,MICHIGAN,n/a,4.0,-4.0,1.0,OKLAHOMA,4.0
BASKETBALL,CBB,NORTH DAKOTA,ALABAMA,n/a,25.0,-25.0,-7.0,NORTH DAKOTA,25.0
BASKETBALL,CBB,ARIZONA,SAMFORD,n/a,-19.5,19.5,32.0,ARIZONA,-19.5
BASKETBALL,CBB,NEW MEXICO,VCU,n/a,-3.5,3.5,7.0,NEW MEXICO,-3.5
BASKETBALL,CBB,UC DAVIS,IDAHO,n/a,-6.5,6.5,6.0,IDAHO,6.5
BASKETBALL,CBB,IDAHO STATE,UTAH VALLEY,n/a,1.0,-1.0,-24.0,UTAH VALLEY,-1.0
BASKETBALL,CBB,USC,CSUN,n/a,-12.5,12.5,21.0,USC,-12.5
BASKETBALL,CBB,SANTA CLARA,KENNESAW STATE,n/a,-15.0,15.0,20.0,SANTA CLARA,-15.0
BASKETBALL,CBB,PACIFIC,PORTLAND STATE,n/a,-4.0,4.0,-6.0,PORTLAND STATE,4.0
BASKETBALL,CBB,LOYOLA MARYMOUNT,UC SANTA BARBARA,n/a,-3.0,3.0,2.0,UC SANTA BARBARA,3.0
BASKETBALL,CBB,UC RIVERSIDE,MONTANA STATE,n/a,-2.5,2.5,3.0,UC RIVERSIDE,-2.5
BASKETBALL,CBB,PORTLAND,CSU BAKERSFIELD,n/a,1.0,-1.0,-17.0,CSU BAKERSFIELD,-1.0
BASKETBALL,CBB,WASHINGTON,WASHINGTON STATE,n/a,-3.0,3.0,16.0,WASHINGTON,-3.0
BASKETBALL,CBB,NORTH TEXAS,MISSISSIPPI VALLEY,n/a,-36.5,36.5,41.0,NORTH TEXAS,-36.5
BASKETBALL,CBB,GONZAGA,NICHOLLS STATE,n/a,-35.0,35.0,30.0,NICHOLLS STATE,35.0
FOOTBALL,CFB,JAMES MADISON,WESTERN KENTUCKY,n/a,-7.5,7.5,10.0,JAMES MADISON,-7.5
FOOTBALL,CFB,UNLV,CALIFORNIA,n/a,-3.5,3.5,11.0,UNLV,-3.5
FOOTBALL,CFB,WEST VIRGINIA,MEMPHIS,n/a,6.0,-6.0,-5.0,WEST VIRGINIA,6.0
BASKETBALL,NBA,OKC THUNDER,MIL BUCKS,IN-SEASON TOURNAMENT,-5.0,5.0,-16.0,MIL BUCKS,5.0
BASKETBALL,CBB,HOWARD,DREXEL,n/a,1.0,-1.0,-3.0,DREXEL,-1.0
BASKETBALL,CBB,UNC ASHEVILLE,NORTH FLORIDA,n/a,-3.0,3.0,14.0,UNC ASHEVILLE,-3.0
BASKETBALL,CBB,FLORIDA,NORTH CAROLINA,n/a,-3.5,3.5,6.0,FLORIDA,-3.5
BASKETBALL,CBB,DAYTON,UNLV,n/a,-10.5,10.5,1.0,UNLV,10.5
