Spread_Range,Total_Games,Positive_Cover_Percentage,Negative_Cover_Percentage,Both_Cover_Percentage
under 2 points,82,34.15,63.41,2.44
between 2 and 3 points,86,58.14,40.70,1.16
between 3 and 4 points,99,46.46,53.54,0.00
between 4 and 5 points,73,49.32,50.68,0.00
between 5 and 6 points,58,44.83,51.72,3.45
between 6 and 7 points,60,46.67,50.00,3.33
between 7 and 8 points,49,36.73,61.22,2.05
between 8 and 9 points,43,44.19,55.81,0.00
between 9 and 10 points,40,67.50,32.50,0.00
between 10 and 12.5 points,68,48.53,51.47,0.00
between 12.5 and 15 points,73,47.95,52.05,0.00
between 15 and 17.5 points,43,51.16,48.84,0.00
between 17.5 and 20 points,23,39.13,60.87,0.00
over 20 points,62,45.16,51.61,3.23