Line_Value,Total_Games,Positive_Cover_Percentage,Negative_Cover_Percentage,Both_Cover_Percentage
1.0,55,36.36,60.00,3.64
1.5,56,41.07,58.93,0.00
2.0,57,57.89,36.84,5.27
2.5,69,55.07,44.93,0.00
3.0,69,44.93,53.62,1.45
3.5,69,46.38,53.62,0.00
4.0,46,52.17,47.83,0.00
4.5,61,50.82,49.18,0.00
5.0,50,36.00,58.00,6.00
5.5,44,56.82,43.18,0.00
6.0,59,42.37,50.85,6.78
6.5,48,64.58,35.42,0.00
7.0,35,37.14,60.00,2.86
7.5,41,29.27,70.73,0.00
8.0,27,51.85,48.15,0.00
8.5,39,41.03,58.97,0.00
9.0,29,58.62,37.93,3.45
9.5,27,62.96,37.04,0.00
10.0,26,46.15,53.85,0.00
10.5,21,57.14,42.86,0.00
11.0,26,26.92,73.08,0.00
11.5,19,52.63,47.37,0.00
12.0,17,58.82,35.29,5.89
12.5,23,52.17,47.83,0.00
13.0,12,50.00,50.00,0.00
13.5,25,40.00,60.00,0.00
14.0,23,60.87,34.78,4.35
14.5,16,31.25,68.75,0.00
15.0,13,23.08,76.92,0.00
15.5,10,90.00,10.00,0.00
16.0,9,44.44,55.56,0.00
16.5,9,55.56,44.44,0.00
17.0,10,50.00,50.00,0.00
17.5,3,33.33,66.67,0.00
18.0,6,33.33,50.00,16.67
18.5,4,50.00,50.00,0.00
19.0,1,100.00,0.00,0.00
19.5,6,0.00,100.00,0.00
20.0,6,66.67,33.33,0.00
20.5,5,40.00,60.00,0.00
21.0,4,50.00,50.00,0.00
21.5,3,33.33,66.67,0.00
22.0,1,0.00,100.00,0.00
22.5,1,0.00,100.00,0.00
23.0,2,50.00,50.00,0.00
23.5,2,0.00,100.00,0.00
24.0,3,0.00,100.00,0.00
24.5,3,100.00,0.00,0.00
25.0,3,66.67,33.33,0.00
26.0,2,50.00,50.00,0.00
26.5,3,100.00,0.00,0.00
27.0,2,0.00,100.00,0.00
27.5,2,100.00,0.00,0.00
28.0,3,33.33,33.33,33.34
29.0,3,33.33,33.33,33.34
29.5,1,0.00,100.00,0.00
30.0,2,100.00,0.00,0.00
30.5,1,0.00,100.00,0.00
31.5,1,0.00,100.00,0.00
32.0,1,100.00,0.00,0.00
32.5,1,100.00,0.00,0.00
33.0,1,100.00,0.00,0.00
34.0,4,0.00,100.00,0.00
35.0,3,100.00,0.00,0.00
36.5,2,0.00,100.00,0.00
38.5,1,0.00,100.00,0.00
39.5,1,0.00,100.00,0.00
41.0,1,0.00,100.00,0.00
43.0,1,100.00,0.00,0.00