Sport,League,Home_Team,Away_Team,Scenario,Home_Line,Away_Line,Who_Won,Winning_Line
BASKETBALL,NBA,ORL MAGIC,DEN NUGGETS,n/a,235,-290,DEN NUGGETS,-290
BASKETBALL,NBA,OKC THUNDER,BKN NETS,n/a,-1800,1000,OKC THUNDER,-1800
BASKETBALL,NBA,MIL BUCKS,PHI 76ERS,n/a,-625,455,MIL BUCKS,-625
BASKETBALL,NBA,LA CLIPPERS,LA LAKERS,n/a,-175,145,LA CLIPPERS,-175
BASKETBALL,NBA,SAC KINGS,WAS WIZARDS,n/a,-1600,900,SAC KINGS,-1600
BASKETBALL,NBA,POR TRAIL BLAZERS,CHI BULLS,n/a,195,-238,POR TRAIL BLAZERS,195
FOOTBALL,NFL,KC CHIEFS,HOU TEXANS,PLAYOFFS,-500,380,KC CHIEFS,-500
FOOTBALL,NFL,DET LIONS,WAS COMMANDERS,PLAYOFFS,-470,360,WAS COMMANDERS,360
FOOTBALL,NFL,PHI EAGLES,LA RAMS,PLAYOFFS,-290,235,PHI EAGLES,-290
FOOTBALL,NFL,BUF BILLS,BAL RAVENS,PLAYOFFS,-102,-118,BUF BILLS,-102
BASKETBALL,NBA,DET PISTONS,PHO SUNS,n/a,-105,-115,PHO SUNS,-115
BASKETBALL,NBA,IND PACERS,PHI 76ERS,n/a,-410,320,IND PACERS,-410
BASKETBALL,NBA,BOS CELTICS,ATL HAWKS,n/a,-500,380,ATL HAWKS,380
BASKETBALL,NBA,GS WARRIORS,WAS WIZARDS,n/a,-900,600,GS WARRIROS,-900
BASKETBALL,NBA,MIN TIMBERWOLVES,CLE CAVALIERS,n/a,205,-250,CLE CAVALIERS,-250
BASKETBALL,NBA,POR TRAIL BLAZERS,HOU ROCKETS,n/a,440,-600,HOU ROCKETS,-600
BASKETBALL,NBA,BOS CELTICS,ORL MAGIC,n/a,-1200,750,BOS CELTICS,-1200
BASKETBALL,NBA,NY KNICKS,MIN TIMBERWOLVES,n/a,-192,160,MIN TIMBERWOLVES,160
BASKETBALL,NBA,MIL BUCKS,TOR RAPTORS,n/a,-600,440,MIL BUCKS,-600
BASKETBALL,NBA,CHI BULLS,CHA HORNETS,n/a,-192,160,CHA HORNETS,160
BASKETBALL,NBA,MIA HEAT,DEN NUGGETS,n/a,-115,-105,DEN NUGGETS,-105
BASKETBALL,NBA,NO PELICANS,UTA JAZZ,n/a,-650,470,NO PELICANS,-650
BASKETBALL,NBA,DAL MAVERICKS,OKC THUNDER,n/a,260,-325,DAL MAVERICKS,260
BASKETBALL,NBA,SA SPURS,MEM GRIZZLIES,n/a,120,-142,MEM GRIZZLIES,-142
BASKETBALL,NBA,LA LAKERS,BKN NETS,n/a,-600,440,LA LAKERS,-600
BASKETBALL,COLLEGE MENS,AKRON,OHIO,n/a,-135,114,AKRON,-135
BASKETBALL,COLLEGE MENS,VILLANOVA,PROVIDENCE,n/a,-410,320,VILLANOVA,-410
BASKETBALL,COLLEGE MENS,SAINT JOSEPHS,VCU,n/a,114,-135,VCU,-135
BASKETBALL,COLLEGE MENS,GREEN BAY,ROBERT MORRIS,n/a,180,-218,ROBERT MORRIS,-218
BASKETBALL,COLLEGE MENS,GEORGETOWN,DEPAUL,n/a,-470,360,DEPAUL,360
BASKETBALL,COLLEGE MENS,OHIO STATE,INDIANA,n/a,-325,260,INDIANA,260
BASKETBALL,COLLEGE MENS,MILWAUKEE,YOUNGSTOWN STATE,n/a,-192,160,MILWAUKEE,-192
BASKETBALL,COLLEGE MENS,UCLA,IOWA,n/a,-310,250,UCLA,-310
BASKETBALL,COLLEGE MENS,FRESNO STATE,AIR FORCE,n/a,-230,190,FRESNO STATE,-230
BASKETBALL,COLLEGE MENS,NEW MEXICO,BOISE STATE,n/a,-166,140,NEW MEXICO,-166
BASKETBALL,NBA,DET PISTONS,IND PACERS,n/a,-130,110,IND PACERS,110
BASKETBALL,NBA,WAS WIZARDS,PHO SUNS,n/a,470,-650,PHO SUNS,-650
BASKETBALL,NBA,OKC THUNDER,CLE CAVALIERS,n/a,-130,110,OKC THUNDER,-130
BASKETBALL,NBA,SAC KINGS,HOU ROCKETS,n/a,-180,150,SAC KINGS,-180
BASKETBALL,NBA,POR TRAIL BLAZERS,LA CLIPPERS,n/a,215,-265,LA CLIPPERS,-265
BASKETBALL,COLLEGE MENS,UMBC,NEW HAMPSHIRE,n/a,-1350,800,NEW HAMPSHIRE,800
BASKETBALL,COLLEGE MENS,FLORIDA GULF COAST,WEST GEORGIA,n/a,-1350,800,FLORIDA GULF COAST,-1350
BASKETBALL,COLLEGE MENS,BELLARMINE,LIPSCOMB,n/a,1000,-1800,LIPSCOMB,-1800
BASKETBALL,COLLEGE MENS,MINNESOTA,MICHIGAN,n/a,400,-535,MINNESOTA,400
BASKETBALL,COLLEGE MENS,TEMPLE,MEMPHIS,n/a,310,-395,TEMPLE,310
BASKETBALL,COLLEGE MENS,JAMES MADISON,MARSHALL,n/a,-265,215,JAMES MADISON,-265
BASKETBALL,COLLEGE MENS,CAMPBELL,CHARLESTON,n/a,160,-192,CHARLESTON,-192
BASKETBALL,COLLEGE MENS,RIDER,MOUNT SAINT MARYS,n/a,100,-120,RIDER,100
BASKETBALL,COLLEGE MENS,NORTH FLORIDA,CENTRAL ARKANSAS,n/a,-485,370,NORTH FLORIDA,-485
BASKETBALL,COLLEGE MENS,UNC WILMINGTON,NORTHEASTERN,n/a,-265,215,UNC WILMINGTON,-265
BASKETBALL,COLLEGE MENS,FIU,NEW MEXICO STATE,n/a,160,-192,NEW MEXICO STATE,-192
BASKETBALL,COLLEGE MENS,QUINNIPIAC,MERRIMACK,n/a,-155,130,QUINNIPIAC,-155
BASKETBALL,COLLEGE MENS,COASTAL CAROLINA,GEORGIA SOUTHERN,n/a,-135,114,GEORGIA SOUTHERN,114
BASKETBALL,COLLEGE MENS,DREXEL,ELON,n/a,-125,105,ELON,105
BASKETBALL,COLLEGE MENS,OLD DOMINION,APPALACHIAN STATE,n/a,170,-205,APPALACHIAN STATE,-205
BASKETBALL,COLLEGE MENS,JACKSONVILLE STATE,LOUISIANA TECH,n/a,136,-162,JACKSONVILLE STATE,136
BASKETBALL,COLLEGE MENS,HAMPTON,WILLIAM & MARY,n/a,140,-166,WILLIAM & MARY,-166
BASKETBALL,COLLEGE MENS,STETSON,QUEENS NC,n/a,200,-245,QUEENS NC,-245
BASKETBALL,COLLEGE MENS,LONGWOOD,HIGH POINT,n/a,170,-205,LONGWOOD,170
BASKETBALL,COLLEGE MENS,KENNESAW STATE,SAM HOUSTON,n/a,-102,-118,KENNESAW STATE,-102
BASKETBALL,COLLEGE MENS,NORTH CAROLINA A&T,MONMOUTH,n/a,105,-125,MONMOUTH,-125
BASKETBALL,COLLEGE MENS,JACKSONVILLE,NORTH ALABAMA,n/a,-105,-115,JACKSONVILLE,-105
BASKETBALL,COLLEGE MENS,ARKANSAS STATE,LOUISIANA,n/a,-2100,1100,ARKANSAS STATE,-2100
BASKETBALL,COLLEGE MENS,SOUTH DAKOTA STATE,NORTH DAKOTA,n/a,-650,470,SOUTH DAKOTA STATE,-650
BASKETBALL,COLLEGE MENS,NORTH DAKOTA STATE,UMKC,n/a,-440,340,NORTH DAKOTA STATE,-440
BASKETBALL,COLLEGE MENS,SOUTH DAKOTA,ORAL ROBERTS,n/a,-340,270,SOUTH DAKOTA,-340
BASKETBALL,COLLEGE MENS,NORTHERN ARIZONA,SACRAMENTO STATE,n/a,-440,340,NORTHERN ARIZONA,-440
BASKETBALL,COLLEGE MENS,NORTHERN COLORADO,PORTLAND STATE,n/a,-425,330,NORTHERN COLORADO,-425
BASKETBALL,COLLEGE MENS,UT ARLINGTON,UTAH VALLEY,n/a,105,-125,UTAH VALLEY,-125
BASKETBALL,COLLEGE MENS,TARLETON STATE,CALIFORNIA BAPTIST,n/a,130,-155,TARLETON STATE,130
BASKETBALL,COLLEGE MENS,AUSTIN PEAY,EASTERN KENTUCKY,n/a,124,-148,AUSTIN PEAY,124
BASKETBALL,COLLEGE MENS,UT MARTIN,EASTERN ILLINOIS,n/a,-250,205,UT MARTIN,-250
BASKETBALL,COLLEGE MENS,TENNESSEE STATE,SIU EDWARDSVILLE,n/a,-130,110,SIU EDWARDSVILLE,110
BASKETBALL,COLLEGE MENS,SOUTHERN INDIANA,LINDENWOOD,n/a,-118,-102,SOUTHERN INDIANA,-118
BASKETBALL,COLLEGE MENS,TENNESSEE TECH,SE MISSOURI STATE,n/a,-142,120,SE MISSOURI STATE,120
BASKETBALL,COLLEGE MENS,NEBRASKA,RUTGERS,n/a,-440,340,RUTGERS,340
BASKETBALL,COLLEGE MENS,NORTHWESTERN,MARYLAND,n/a,105,-125,NORTHWESTERN,105
BASKETBALL,COLLEGE MENS,LIBERTY,UTEP,n/a,-380,300,UTEP,300
BASKETBALL,COLLEGE MENS,GRAND CANYON,ABILENE CHRISTIAN,n/a,-1200,750,GRAND CANYON,-1200
BASKETBALL,COLLEGE MENS,IDAHO STATE,MONTANA STATE,n/a,-120,100,IDAHO STATE,-120
BASKETBALL,COLLEGE MENS,WEBER STATE,MONTANA,n/a,-120,100,MONTANA,100
BASKETBALL,COLLEGE MENS,SAN DIEGO,WASHINGTON STATE,n/a,625,-950,WASHINGTON STATE,-950
BASKETBALL,COLLEGE MENS,PEPPERDINE,SAN FRANCISCO,n/a,215,-265,SAN FRANCISCO,-265
BASKETBALL,COLLEGE MENS,UC IRVINE,CAL STATE FULLERTON,n/a,-3200,1400,UC IRVINE,-3200
BASKETBALL,COLLEGE MENS,SEATTLE,UTAH TECH,n/a,-800,550,SEATTLE,-800
BASKETBALL,COLLEGE MENS,LONG BEACH STATE,UC SAN DIEGO,n/a,800,-1350,UC SAN DIEGO,-1350
BASKETBALL,COLLEGE MENS,LOYOLA MARYMOUNT,SANTA CLARA,n/a,185,-225,LOYOLA MARYMOUNT,185
BASKETBALL,COLLEGE MENS,UC SANTA BARBARA,UC RIVERSIDE,n/a,-245,200,UC SANTA BARBARA,-245
BASKETBALL,COLLEGE MENS,CAL POLY,UC DAVIS,n/a,-180,150,UC DAVIS,150
BASKETBALL,COLLEGE MENS,PORTLAND,PACIFIC,n/a,-148,124,PORLAND,-148
BASKETBALL,COLLEGE MENS,OREGON STATE,GONZAGA,n/a,380,-500,OREGON STATE,380
BASKETBALL,COLLEGE MENS,HAWAII,CSUN,n/a,-175,145,CSUN,145
BASKETBALL,NBA,PHI 76ERS,NY KNICKS,n/a,185,-225,NY KNICKS,-225
BASKETBALL,NBA,TOR RAPTORS,BOS CELTICS,n/a,700,-1100,TOR RAPTORS,700
BASKETBALL,NBA,MIL BUCKS,ORL MAGIC,n/a,-225,185,MIL BUCKS,-225
BASKETBALL,NBA,SA SPURS,MEM GRIZZLIES,n/a,114,-135,MEM GRIZZLIES,-135
BASKETBALL,NBA,CHI BULLS,ATL HAWKS,n/a,-125,105,ATL HAWKS,105
BASKETBALL,NBA,NO PELICANS,DAL MAVERICKS,n/a,114,-135,NO PELICANS,114
BASKETBALL,NBA,DEN NUGGETS,HOU ROCKETS,n/a,-120,100,HOU ROCKETS,100
BASKETBALL,NBA,UTA JAZZ,CHA HORNETS,n/a,170,-205,CHA HORNETS,-205
BASKETBALL,NBA,MIN TIMBERWOLVES,GS WARRIORS,n/a,-245,200,GS WARRIORS,200
BASKETBALL,NBA,LA LAKERS,MIA HEAT,n/a,-218,180,LA LAKERS,-218
BASKETBALL,NBA,LA CLIPPERS,BKN NETS,n/a,-950,625,LA CLIPPERS,-950
BASKETBALL,COLLEGE MENS,VANDERBILT,SOUTH CAROLINA,n/a,-455,350,VANDERBILT,-455
BASKETBALL,COLLEGE MENS,BOSTON UNIVERSITY,LEHIGH,n/a,-180,150,BOSTON UNIVERSITY,-180
BASKETBALL,COLLEGE MENS,VMI,WESTERN CAROLINA,n/a,-135,114,VMI,-135
BASKETBALL,COLLEGE MENS,WAKE FOREST,STANFORD,n/a,-310,250,WAKE FOREST,-310
BASKETBALL,COLLEGE MENS,WINTHROP,CHARLESTON SOUTHERN,n/a,-625,455,WINTHROP,-625
BASKETBALL,COLLEGE MENS,LA SALLE,DAVIDSON,n/a,120,-142,LA SALLE,120
BASKETBALL,COLLEGE MENS,UNC ASHEVILLE,USC UPSTATE,n/a,-850,575,UNC ASHEVILLE,-850
BASKETBALL,COLLEGE MENS,IOWA STATE,KANSAS,n/a,-250,205,IOWA STATE,-250
BASKETBALL,COLLEGE MENS,NORTH CAROLINA,CALIFORNIA,n/a,-1600,900,NORTH CAROLINA,-1600
BASKETBALL,COLLEGE MENS,DAYTON,GEORGE MASON,n/a,-375,295,GEORGE MASON,295
BASKETBALL,COLLEGE MENS,BUTLER,SETON HALL,n/a,-345,275,BUTLER,-345
BASKETBALL,COLLEGE MENS,OAKLAND,IU INDIANAPOLIS,n/a,-470,360,OAKLAND,-470
BASKETBALL,COLLEGE MENS,VIRGINIA TECH,NC STATE,n/a,100,-120,VIRGINIA TECH,100
BASKETBALL,COLLEGE MENS,MERCER,SAMFORD,n/a,205,-250,SAMFORD,-250
BASKETBALL,COLLEGE MENS,GEORGE WASHINGTON,DUQUESNE,n/a,-180,150,DUQUESNE,150
BASKETBALL,COLLEGE MENS,UNC GREENSBORO,THE CITADEL,n/a,-1600,900,UNC GREENSBORO,-1600
BASKETBALL,COLLEGE MENS,CLEVELAND STATE,NORTHERN KENTUCKY,n/a,-205,170,CLEVELAND STATE,-205
BASKETBALL,COLLEGE MENS,FURMAN,ETSU,n/a,-175,145,FURMAN,-175
BASKETBALL,COLLEGE MENS,SOUTH FLORIDA,UAB,n/a,136,-162,UAB,-162
BASKETBALL,COLLEGE MENS,RADFORD,GARDNER-WEBB,n/a,-290,235,RADFORD,-290
BASKETBALL,COLLEGE MENS,CHATTANOOGA,WOFFORD,n/a,-175,145,CHATTANOOGA,-175
BASKETBALL,COLLEGE MENS,BUCKNELL,HOLY CROSS,n/a,-265,215,BUCKNELL,-265
BASKETBALL,COLLEGE MENS,WRIGHT STATE,PURDUE FORT WAYNE,n/a,-102,-118,PURDUE FORT WAYNE,-118
BASKETBALL,COLLEGE MENS,MISSOURI STATE,SOUTHERN ILLINOIS,n/a,-175,145,SOUTHERN ILLINOIS,145
BASKETBALL,COLLEGE MENS,MICHIGAN STATE,PENN STATE,n/a,-750,525,MICHIGAN STATE,-750
BASKETBALL,COLLEGE MENS,ULM,TROY,n/a,675,-1050,TROY,-1050
BASKETBALL,COLLEGE MENS,TULANE,FLORIDA ATLANTIC,n/a,114,-135,TULANE,114
BASKETBALL,COLLEGE MENS,TENNESSEE,GEORGIA,n/a,-750,525,TENNESSEE,-750
BASKETBALL,COLLEGE MENS,HOUSTON,WEST VIRGINIA,n/a,-2100,1100,HOUSTON,-2100
BASKETBALL,COLLEGE MENS,BRADLEY,INDIANA STATE,n/a,-380,300,BRADLEY,-380
BASKETBALL,COLLEGE MENS,TEXAS STATE,GEORGIA STATE,n/a,-520,390,TEXAS STATE,-520
BASKETBALL,COLLEGE MENS,TCU,UTAH,n/a,-218,180,UTAH,180
BASKETBALL,COLLEGE MENS,SOUTH ALABAMA,SOUTHERN MISS,n/a,-900,600,SOUTH ALABAMA,-900
BASKETBALL,COLLEGE MENS,ILLINOIS CHICAGO,MURRAY STATE,n/a,-148,124,ILLINOIS CHICAGO,-148
BASKETBALL,COLLEGE MENS,DRAKE,ILLINOIS STATE,n/a,-575,425,DRAKE,-575
BASKETBALL,COLLEGE MENS,VIRGINIA,SMU,n/a,215,-265,SMU,-265
BASKETBALL,COLLEGE MENS,FLORIDA STATE,PITTSBURGH,n/a,120,-142,FLORIDA STATE,120
BASKETBALL,COLLEGE MENS,COLORADO,CINCINNATI,n/a,136,-162,CINCINNATI,-162
BASKETBALL,COLLEGE MENS,LOYOLA CHICAGO,RHODE ISLAND,n/a,-162,136,LOYOLA CHICAGO,-162
BASKETBALL,COLLEGE MENS,DENVER,OMAHA,n/a,164,-198,OMAHA,-198
BASKETBALL,COLLEGE MENS,WASHINGTON,PURDUE,n/a,270,-340,PURDUE,-340
BASKETBALL,COLLEGE MENS,OKLAHOMA,TEXAS,n/a,-148,124,TEXAS,124
BASKETBALL,COLLEGE MENS,UNLV,UTAH STATE,n/a,190,-230,UNLV,190
BASKETBALL,NBA,IND PACERS,CLE CAVALIERS,n/a,250,-310,CLE CAVALIERS,-310
BASKETBALL,NBA,PHI 76ERS,OKC THUNDER,n/a,470,-650,OKC THUNDER,-650
BASKETBALL,NBA,ATL HAWKS,PHO SUNS,n/a,136,-162,ATL HAWKS,136
BASKETBALL,NBA,MIL BUCKS,SAC KINGS,n/a,-135,114,MIL BUCKS,-135
BASKETBALL,NBA,CHI BULLS,NO PELICANS,n/a,-120,100,NO PELICANS,100
BASKETBALL,NBA,DAL MAVERICKS,DEN NUGGETS,n/a,136,-162,DEN NUGGETS,-162
BASKETBALL,NBA,POR TRAIL BLAZERS,BKN NETS,n/a,-218,180,BKN NETS,180
BASKETBALL,COLLEGE MENS,XAVIER,VILLANOVA,n/a,-148,124,XAVIER,-148
BASKETBALL,COLLEGE MENS,KENTUCKY,TEXAS A&M,n/a,-285,230,KENTUCKY,-285
BASKETBALL,COLLEGE MENS,AUBURN,MISSISSIPPI STATE,n/a,-355,280,AUBURN,-355
BASKETBALL,COLLEGE MENS,ALABAMA,OLE MISS,n/a,-700,500,OLE MISS,500
BASKETBALL,COLLEGE MENS,DEPAUL,MARQUETTE,n/a,750,-1200,MARQUETTE,-1200
BASKETBALL,COLLEGE MENS,INDIANA,ILLINOIS,n/a,140,-166,ILLINOIS,-166
BASKETBALL,COLLEGE MENS,OHIO,BALL STATE,n/a,-535,400,OHIO,-535
BASKETBALL,COLLEGE MENS,VCU,SAINT LOUIS,n/a,-500,380,VCU,-500
BASKETBALL,COLLEGE MENS,KENT STATE,WESTERN MICHIGAN,n/a,-1000,650,WESTERN MICHIGAN,650
BASKETBALL,COLLEGE MENS,AKRON,TOLEDO,n/a,-278,225,AKRON,-278
BASKETBALL,COLLEGE MENS,NORTHERN ILLINOIS,MIAMI OH,n/a,525,-750,MIAMI OH,-750
BASKETBALL,COLLEGE MENS,EAST CAROLINA,NORTH TEXAS,n/a,130,-155,NORTH TEXAS,-155
BASKETBALL,COLLEGE MENS,CENTRAL MICHIGAN,EASTERN MICHIGAN,n/a,-305,245,CENTRAL MICHIGAN,-305
BASKETBALL,COLLEGE MENS,WICHITA STATE,CHARLOTTE,n/a,-550,410,WICHITA STATE,-550
BASKETBALL,COLLEGE MENS,BELMONT,VALPARAISO,n/a,-290,235,BELMONT,-290
BASKETBALL,COLLEGE MENS,NORTHERN IOWA,EVANSVILLE,n/a,-1100,700,NORTHERN IOWA,-1100
BASKETBALL,COLLEGE MENS,RICE,UTSA,n/a,-198,164,UTSA,164
BASKETBALL,COLLEGE MENS,CREIGHTON,PROVIDENCE,n/a,-425,330,CREIGHTON,-425
BASKETBALL,COLLEGE MENS,SE MISSOURI STATE,LITTLE ROCK,n/a,-120,100,LITTLE ROCK,100
BASKETBALL,COLLEGE MENS,FLORIDA,MISSOURI,n/a,-625,455,MISSOURI,455
BASKETBALL,COLLEGE MENS,DUKE,MIAMI FL,n/a,-5000,1800,DUKE,-5000
BASKETBALL,COLLEGE MENS,WISCONSIN,OHIO STATE,n/a,-290,235,WISCONSIN,-290
BASKETBALL,COLLEGE MENS,GEORGIA TECH,CLEMSON,n/a,180,-218,CLEMSON,-218
BASKETBALL,COLLEGE MENS,BOISE STATE,WYOMING,n/a,-1600,900,BOISE STATE,-1600
BASKETBALL,COLLEGE MENS,KANSAS STATE,TEXAS TECH,n/a,235,-290,TEXAS TECH,-290
BASKETBALL,COLLEGE MENS,BYU,OKLAHOMA STATE,n/a,-1350,800,BYU,-1350
BASKETBALL,COLLEGE MENS,LSU,ARKANSAS,n/a,102,-122,LSU,102
BASKETBALL,COLLEGE MENS,NEVADA,AIR FORCE,n/a,-3600,1500,NEVADA,-3600
BASKETBALL,COLLEGE MENS,SAN JOSE STATE,NEW MEXICO,n/a,410,-550,SAN JOSE STATE,410
BASKETBALL,COLLEGE MENS,USC,IOWA,n/a,-142,120,USC,-142
BASKETBALL,COLLEGE MENS,ARIZONA STATE,UCF,n/a,-175,145,UCF,145
BASKETBALL,COLLEGE MENS,ARIZONA,BAYLOR,n/a,-238,195,ARIZONA,-238
BASKETBALL,COLLEGE MENS,SAN DIEGO STATE,COLORADO STATE,n/a,-305,245,SAN DIEGO STATE,-305
FOOTBALL,NFL,HOU TEXANS,LA CHARGERS,PLAYOFFS,136,-162,HOU TEXANS,136
FOOTBALL,NFL,BAL RAVENS,PIT STEELERS,PLAYOFFS,-485,370,BAL RAVENS,-485
FOOTBALL,NFL,BUF BILLS,DEN BRONCOS,PLAYOFFS,-425,330,BUF BILLS,-425
FOOTBALL,NFL,PHI EAGLES,GB PACKERS,PLAYOFFS,-230,190,PHI EAGLES,-230
FOOTBALL,NFL,TB BUCCANEERS,WAS COMMANDERS,PLAYOFFS,-175,145,WAS COMMANDERS,145
FOOTBALL,NFL,LA RAMS,MIN VIKINGS,PLAYOFFS,124,-148,LA RAMS,124
BASKETBALL,NBA,WAS WIZARDS,MIN TIMBERWOLVES,n/a,650,-1000,MIN TIMBERWOLVES,-1000
BASKETBALL,NBA,NY KNICKS,DET PISTONS,n/a,-340,270,DET PISTONS,270
BASKETBALL,NBA,TOR RAPTORS,GS WARRIORS,n/a,195,-238,TOR RAPTORS,195
BASKETBALL,NBA,HOU ROCKETS,MEM GRIZZLIES,n/a,-135,114,HOU ROCKETS,-135
BASKETBALL,NBA,LA LAKERS,SA SPURS,n/a,-166,140,SA SPURS,140
BASKETBALL,NBA,LA CLIPPERS,MIA HEAT,n/a,-238,195,LA CLIPPERS,-238
BASKETBALL,COLLEGE MENS,ARKANSAS-PINE BLUFF,PRAIRIE VIEW,n/a,180,-218,PRAIRIE VIEW,-218
BASKETBALL,COLLEGE MENS,RUTGERS,UCLA,n/a,140,-166,RUTGERS,140
BASKETBALL,COLLEGE MENS,MARYLAND,MINNESOTA,n/a,-1800,1000,MARYLAND,-1800
BASKETBALL,COLLEGE MENS,NOTRE DAME,BOSTON COLLEGE,n/a,-700,500,NOTRE DAME,-700
BASKETBALL,COLLEGE MENS,FURMAN,WOFFORD,n/a,-250,205,WOFFORD,205
BASKETBALL,COLLEGE MENS,MISSISSIPPI VALLEY,TEXAS SOUTHERN,n/a,1100,-2100,TEXAS SOUTHERN,-2100
BASKETBALL,COLLEGE MENS,ALCORN,ALABAMA STATE,n/a,145,-175,ALCORN,145
BASKETBALL,COLLEGE MENS,LOYOLA MARYLAND,AMERICAN,n/a,-135,114,AMERICAN,114
BASKETBALL,COLLEGE MENS,HOWARD,COPPIN STATE,n/a,-1050,675,HOWARD,-1050
BASKETBALL,COLLEGE MENS,UT RIO GRANDE VALLEY,EAST TEXAS A&M,n/a,-900,600,UT RIO GRANDE VALLEY,-900
