Sport,League,Home_Team,Away_Team,Scenario,Points,Actual_Points,OU
BASKETBALL,CBB,BELLARMINE,LIPSCOMB,n/a,145.5,140,U
BASKETBALL,CBB,MINNESOTA,MICHIGAN,n/a,144.5,165,O
BASKETBALL,CBB,TEMPLE,MEMPHIS,n/a,156.5,169,O
BASKETBALL,CBB,JAMES MADISON,MARSHALL,n/a,145.0,131,U
BASKETBALL,CBB,CAMPBELL,CHARLESTON,n/a,150.5,128,U
BASKETBALL,CBB,RIDER,MOUNT SAINT MARYS,n/a,138.5,126,U
BASKETBALL,CBB,NORTH FLORIDA,CENTRAL ARKANSAS,n/a,158.5,172,O
BASKETBALL,CBB,UNC WILMINGTON,NORTHEASTERN,n/a,141.5,152,O
BASKETBALL,CBB,FIU,NEW MEXICO STATE,n/a,143.0,111,U
BASKETBALL,CBB,QUINNIPIAC,MERRIMACK,n/a,134.0,157,O
BASKETBALL,CBB,COASTAL CAROLINA,GEORGIA SOUTHERN,n/a,141.0,175,O
BASKETBALL,CBB,DREXEL,ELON,n/a,134.0,119,U
BASKETBALL,CBB,OLD DOMINION,APPALACHIAN STATE,n/a,135.0,105,U
BASKETBALL,CBB,JACKSONVILLE STATE,LOUISIANA TECH,n/a,140.0,124,U
BASKETBALL,CBB,HAMPTON,WILLIAM & MARY,n/a,151.0,131,U
BASKETBALL,CBB,STETSON,QUEENS NC,n/a,156.5,155,U
BASKETBALL,CBB,LONGWOOD,HIGH POINT,n/a,153.0,162,O
BASKETBALL,CBB,KENNESAW STATE,SAM HOUSTON,n/a,162.5,144,U
BASKETBALL,CBB,NORTH CAROLINA A&T,MONMOUTH,n/a,153.5,135,U
BASKETBALL,CBB,JACKSONVILLE,NORTH ALABAMA,n/a,142.5,124,U
BASKETBALL,CBB,ARKANSAS STATE,LOUISIANA,n/a,147.5,146,U
BASKETBALL,CBB,SOUTH DAKOTA STATE,NORTH DAKOTA,n/a,156.5,182,O
BASKETBALL,CBB,NORTH DAKOTA STATE,UMKC,n/a,140.0,135,U
BASKETBALL,CBB,SOUTH DAKOTA,ORAL ROBERTS,n/a,173.0,174,O
BASKETBALL,CBB,NORTHERN ARIZONA,SACRAMENTO STATE,n/a,136.5,130,U
BASKETBALL,CBB,NORTHERN COLORADO,PORTLAND STATE,n/a,154.5,141,U
BASKETBALL,CBB,UT ARLINGTON,UTAH VALLEY,n/a,146.0,168,O
BASKETBALL,CBB,TARLETON STATE,CALIFORNIA BAPTIST,n/a,131.0,124,U
BASKETBALL,CBB,AUSTIN PEAY,EASTERN KENTUCKY,n/a,142.0,187,O
BASKETBALL,CBB,UT MARTIN,EASTERN ILLINOIS,n/a,136.5,131,U
BASKETBALL,CBB,TENNESSEE STATE,SIU EDWARDSVILLE,n/a,142.0,167,O
BASKETBALL,CBB,SOUTHERN INDIANA,LINDENWOOD,n/a,141.0,153,O
BASKETBALL,CBB,TENNESSEE TECH,SE MISSOURI STATE,n/a,143.0,147,O
BASKETBALL,CBB,NEBRASKA,RUTGERS,n/a,146.5,167,O
BASKETBALL,CBB,NORTHWESTERN,MARYLAND,n/a,140.0,150,O
BASKETBALL,CBB,LIBERTY,UTEP,n/a,134.5,142,O
BASKETBALL,CBB,GRAND CANYON,ABILENE CHRISTIAN,n/a,144.0,146,O
BASKETBALL,CBB,IDAHO STATE,MONTANA STATE,n/a,138.0,137,U
BASKETBALL,CBB,WEBER STATE,MONTANA,n/a,146.0,122,U
BASKETBALL,CBB,SAN DIEGO,WASHINGTON STATE,n/a,153.5,126,U
BASKETBALL,CBB,PEPPERDINE,SAN FRANCISCO,n/a,149.0,143,U
BASKETBALL,CBB,UC IRVINE,CAL STATE FULLERTON,n/a,135.5,144,O
BASKETBALL,CBB,SEATTLE,UTAH TECH,n/a,141.5,144,O
BASKETBALL,CBB,LONG BEACH STATE,UC SAN DIEGO,n/a,135.5,134,U
BASKETBALL,CBB,LOYOLA MARYMOUNT,SANTA CLARA,n/a,148.5,111,U
BASKETBALL,CBB,UC SANTA BARBARA,UC RIVERSIDE,n/a,140.0,129,U
BASKETBALL,CBB,CAL POLY,UC DAVIS,n/a,156.5,119,U
BASKETBALL,CBB,PORTLAND,PACIFIC,n/a,148.0,165,O
BASKETBALL,CBB,OREGON STATE,GONZAGA,n/a,151.0,186,O
BASKETBALL,CBB,HAWAII,CSUN,n/a,146.0,143,U
BASKETBALL,NBA,PHI 76ERS,NY KNICKS,n/a,220.0,224,O
BASKETBALL,NBA,TOR RAPTORS,BOS CELTICS,n/a,229.5,207,U
BASKETBALL,NBA,MIL BUCKS,ORL MAGIC,n/a,212.0,215,O
BASKETBALL,NBA,SA SPURS,MEM GRIZZLIES,n/a,238.5,244,O
BASKETBALL,NBA,CHI BULLS,ATL HAWKS,n/a,243.0,204,U
BASKETBALL,NBA,NO PELICANS,DAL MAVERICKS,n/a,224.5,235,O
BASKETBALL,NBA,DEN NUGGETS,HOU ROCKETS,n/a,231.5,236,O
BASKETBALL,NBA,UTA JAZZ,CHA HORNETS,n/a,220.5,229,O
BASKETBALL,NBA,MIN TIMBERWOLVES,GS WARRIORS,n/a,215.0,231,O
BASKETBALL,NBA,LA LAKERS,MIA HEAT,n/a,216.0,225,O
BASKETBALL,NBA,LA CLIPPERS,BKN NETS,n/a,213.5,193,U
BASKETBALL,CBB,VANDERBILT,SOUTH CAROLINA,n/a,141.0,129,U
BASKETBALL,CBB,BOSTON UNIVERSITY,LEHIGH,n/a,132.5,121,U
BASKETBALL,CBB,VMI,WESTERN CAROLINA,n/a,146.5,116,U
BASKETBALL,CBB,WAKE FOREST,STANFORD,n/a,141.0,147,O
BASKETBALL,CBB,WINTHROP,CHARLESTON SOUTHERN,n/a,159.5,199,O
BASKETBALL,CBB,LA SALLE,DAVIDSON,n/a,149.0,155,O
BASKETBALL,CBB,UNC ASHEVILLE,USC UPSTATE,n/a,162.5,185,O
BASKETBALL,CBB,IOWA STATE,KANSAS,n/a,143.5,131,U
BASKETBALL,CBB,NORTH CAROLINA,CALIFORNIA,n/a,161.5,132,U
BASKETBALL,CBB,DAYTON,GEORGE MASON,n/a,136.0,126,U
BASKETBALL,CBB,BUTLER,SETON HALL,n/a,137.0,159,O
BASKETBALL,CBB,OAKLAND,IU INDIANAPOLIS,n/a,135.0,131,U
BASKETBALL,CBB,VIRGINIA TECH,NC STATE,n/a,133.0,155,O
BASKETBALL,CBB,MERCER,SAMFORD,n/a,166.0,149,U
BASKETBALL,CBB,GEORGE WASHINGTON,DUQUESNE,n/a,136.5,138,O
BASKETBALL,CBB,UNC GREENSBORO,THE CITADEL,n/a,131.5,127,U
BASKETBALL,CBB,CLEVELAND STATE,NORTHERN KENTUCKY,n/a,131.5,134,O
BASKETBALL,CBB,FURMAN,ETSU,n/a,141.5,143,O
BASKETBALL,CBB,SOUTH FLORIDA,UAB,n/a,156.5,175,O
BASKETBALL,CBB,RADFORD,GARDNER-WEBB,n/a,145.5,154,O
BASKETBALL,CBB,CHATTANOOGA,WOFFORD,n/a,146.5,164,O
BASKETBALL,CBB,BUCKNELL,HOLY CROSS,n/a,134.5,168,O
BASKETBALL,CBB,WRIGHT STATE,PURDUE FORT WAYNE,n/a,153.0,233,O
BASKETBALL,CBB,MISSOURI STATE,SOUTHERN ILLINOIS,n/a,136.0,124,U
BASKETBALL,CBB,MICHIGAN STATE,PENN STATE,n/a,154.0,175,O
BASKETBALL,CBB,ULM,TROY,n/a,136.5,135,U
BASKETBALL,CBB,TULANE,FLORIDA ATLANTIC,n/a,153.5,145,U
BASKETBALL,CBB,TENNESSEE,GEORGIA,n/a,133.5,130,U
BASKETBALL,CBB,HOUSTON,WEST VIRGINIA,n/a,124.0,124,D
BASKETBALL,CBB,BRADLEY,INDIANA STATE,n/a,155.5,183,O
BASKETBALL,CBB,TEXAS STATE,GEORGIA STATE,n/a,147.0,174,O
BASKETBALL,CBB,TCU,UTAH,n/a,141.5,138,U
BASKETBALL,CBB,SOUTH ALABAMA,SOUTHERN MISS,n/a,139.0,137,U
BASKETBALL,CBB,ILLINOIS CHICAGO,MURRAY STATE,n/a,138.5,190,O
BASKETBALL,CBB,DRAKE,ILLINOIS STATE,n/a,124.0,128,O
BASKETBALL,CBB,VIRGINIA,SMU,n/a,134.5,106,U
BASKETBALL,CBB,FLORIDA STATE,PITTSBURGH,n/a,148.0,152,O
BASKETBALL,CBB,COLORADO,CINCINNATI,n/a,135.5,130,U
BASKETBALL,CBB,LOYOLA CHICAGO,RHODE ISLAND,n/a,145.5,158,O
BASKETBALL,CBB,DENVER,OMAHA,n/a,148.5,142,U
BASKETBALL,CBB,WASHINGTON,PURDUE,n/a,145.5,137,U
BASKETBALL,CBB,OKLAHOMA,TEXAS,n/a,149.0,150,O
BASKETBALL,CBB,UNLV,UTAH STATE,n/a,148.5,127,U
BASKETBALL,NBA,IND PACERS,CLE CAVALIERS,n/a,232.5,244,O
BASKETBALL,NBA,PHI 76ERS,OKC THUNDER,n/a,219.0,220,O
BASKETBALL,NBA,ATL HAWKS,PHO SUNS,n/a,235.5,239,O
BASKETBALL,NBA,MIL BUCKS,SAC KINGS,n/a,230.0,245,O
BASKETBALL,NBA,CHI BULLS,NO PELICANS,n/a,241.0,232,U
BASKETBALL,NBA,DAL MAVERICKS,DEN NUGGETS,n/a,234.0,217,U
BASKETBALL,NBA,POR TRAIL BLAZERS,BKN NETS,n/a,218.5,246,O
BASKETBALL,CBB,XAVIER,VILLANOVA,n/a,145.5,132,U
BASKETBALL,CBB,KENTUCKY,TEXAS A&M,n/a,158.5,150,U
BASKETBALL,CBB,AUBURN,MISSISSIPPI STATE,n/a,150.5,154,O
BASKETBALL,CBB,ALABAMA,OLE MISS,n/a,163.5,138,U
BASKETBALL,CBB,DEPAUL,MARQUETTE,n/a,147.5,168,O
BASKETBALL,CBB,INDIANA,ILLINOIS,n/a,157.5,163,O
BASKETBALL,CBB,OHIO,BALL STATE,n/a,152.5,157,O
BASKETBALL,CBB,VCU,SAINT LOUIS,n/a,147.5,140,U
BASKETBALL,CBB,KENT STATE,WESTERN MICHIGAN,n/a,139.5,177,O
BASKETBALL,CBB,AKRON,TOLEDO,n/a,162.5,163,O
BASKETBALL,CBB,NORTHERN ILLINOIS,MIAMI OH,n/a,148.0,153,O
BASKETBALL,CBB,EAST CAROLINA,NORTH TEXAS,n/a,127.5,129,O
BASKETBALL,CBB,CENTRAL MICHIGAN,EASTERN MICHIGAN,n/a,141.0,145,O
BASKETBALL,CBB,WICHITA STATE,CHARLOTTE,n/a,149.0,127,U
BASKETBALL,CBB,BELMONT,VALPARAISO,n/a,159.0,135,U
BASKETBALL,CBB,NORTHERN IOWA,EVANSVILLE,n/a,133.5,129,U
BASKETBALL,CBB,RICE,UTSA,n/a,145.0,174,O
BASKETBALL,CBB,CREIGHTON,PROVIDENCE,n/a,144.0,148,O
BASKETBALL,CBB,SE MISSOURI STATE,LITTLE ROCK,n/a,137.0,144,O
BASKETBALL,CBB,FLORIDA,MISSOURI,n/a,154.5,165,O
BASKETBALL,CBB,DUKE,MIAMI FL,n/a,147.5,143,U
BASKETBALL,CBB,WISCONSIN,OHIO STATE,n/a,150.0,138,U
BASKETBALL,CBB,GEORGIA TECH,CLEMSON,n/a,142.0,129,U
BASKETBALL,CBB,BOISE STATE,WYOMING,n/a,132.5,151,O
BASKETBALL,CBB,KANSAS STATE,TEXAS TECH,n/a,144.5,118,U
BASKETBALL,CBB,BYU,OKLAHOMA STATE,n/a,147.5,154,O
BASKETBALL,CBB,LSU,ARKANSAS,n/a,148.5,152,O
BASKETBALL,CBB,NEVADA,AIR FORCE,n/a,126.5,130,O
BASKETBALL,CBB,SAN JOSE STATE,NEW MEXICO,n/a,151.0,141,U
BASKETBALL,CBB,USC,IOWA,n/a,161.5,188,O
BASKETBALL,CBB,ARIZONA STATE,UCF,n/a,147.0,184,O
BASKETBALL,CBB,ARIZONA,BAYLOR,n/a,148.5,151,O
BASKETBALL,CBB,SAN DIEGO STATE,COLORADO STATE,n/a,131.0,135,O
FOOTBALL,NFL,HOU TEXANS,LA CHARGERS,PLAYOFFS,42.5,44,O
FOOTBALL,NFL,BAL RAVENS,PIT STEELERS,PLAYOFFS,43.5,42,U
FOOTBALL,NFL,BUF BILLS,DEN BRONCOS,PLAYOFFS,47.5,38,U
FOOTBALL,NFL,PHI EAGLES,GB PACKERS,PLAYOFFS,45.5,32,U
FOOTBALL,NFL,TB BUCCANEERS,WAS COMMANDERS,PLAYOFFS,50.5,43,U
FOOTBALL,NFL,LA RAMS,MIN VIKINGS,PLAYOFFS,47.5,36,U
BASKETBALL,NBA,WAS WIZARDS,MIN TIMBERWOLVES,n/a,223.0,226,O
BASKETBALL,NBA,NY KNICKS,DET PISTONS,n/a,223.0,243,O
BASKETBALL,NBA,TOR RAPTORS,GS WARRIORS,n/a,228.5,205,U
BASKETBALL,NBA,HOU ROCKETS,MEM GRIZZLIES,n/a,236.0,238,O
BASKETBALL,NBA,LA LAKERS,SA SPURS,n/a,220.5,228,O
BASKETBALL,NBA,LA CLIPPERS,MIA HEAT,n/a,215.0,207,U
BASKETBALL,CBB,ARKANSAS-PINE BLUFF,PRAIRIE VIEW,n/a,165.0,139,U
BASKETBALL,CBB,RUTGERS,UCLA,n/a,138.5,143,O
BASKETBALL,CBB,MARYLAND,MINNESOTA,n/a,138.5,148,O
BASKETBALL,CBB,NOTRE DAME,BOSTON COLLEGE,n/a,140.5,138,U
BASKETBALL,CBB,FURMAN,WOFFORD,n/a,140.5,143,O
BASKETBALL,CBB,MISSISSIPPI VALLEY,TEXAS SOUTHERN,n/a,136.0,135,U
BASKETBALL,CBB,ALCORN,ALABAMA STATE,n/a,143.0,132,U
BASKETBALL,CBB,LOYOLA MARYLAND,AMERICAN,n/a,136.0,127,U
BASKETBALL,CBB,HOWARD,COPPIN STATE,n/a,147.5,165,O
BASKETBALL,CBB,UT RIO GRANDE VALLEY,EAST TEXAS A&M,n/a,148.5,112,U
BASKETBALL,CBB,MORGAN STATE,NORFOLK STATE,n/a,154.0,152,U
BASKETBALL,CBB,SOUTH CAROLINA STATE,MD EASTERN SHORE,n/a,145.0,142,U
BASKETBALL,CBB,SOUTHERN UNIVERSITY,BETHUNE-COOKMAN,n/a,137.0,122,U
BASKETBALL,CBB,NC CENTRAL,DELAWARE STATE,n/a,147.5,147,U
BASKETBALL,CBB,STEPHEN F. AUSTIN,SE LOUISIANA,n/a,133.0,125,U
BASKETBALL,CBB,INCARNATE WORD,NICHOLLS STATE,n/a,144.0,170,O
BASKETBALL,CBB,HOUSTON CHRISTIAN,MCNEESE,n/a,138.0,134,U
BASKETBALL,CBB,LAMAR,NEW ORLEANS,n/a,146.0,130,U
BASKETBALL,CBB,JACKSON STATE,ALABAMA A&M,n/a,144.0,196,O
BASKETBALL,CBB,A&M-CORPUS CHRISTI,NORTHWESTERN STATE,n/a,144.0,137,U
BASKETBALL,CBB,ELON,CAMPBELL,n/a,137.5,149,O
BASKETBALL,CBB,GRAMBLING,FLORIDA A&M,n/a,134.0,151,O
BASKETBALL,NBA,PHO SUNS,UTA JAZZ,n/a,229.0,220,U
BASKETBALL,NBA,DET PISTONS,TOR RAPTORS,n/a,227.5,237,O
BASKETBALL,NBA,MIN TIMBERWOLVES,MEM GRIZZLIES,n/a,232.0,252,O
BASKETBALL,NBA,POR TRAIL BLAZERS,MIA HEAT,n/a,219.0,217,U
BASKETBALL,NBA,ORL MAGIC,MIL BUCKS,n/a,211.5,215,O
BASKETBALL,NBA,PHI 76ERS,NO PELICANS,n/a,221.0,238,O
BASKETBALL,NBA,IND PACERS,GS WARRIORS,n/a,223.5,204,U
BASKETBALL,NBA,NY KNICKS,OKC THUNDER,n/a,225.5,227,O
BASKETBALL,NBA,BOS CELTICS,SAC KINGS,n/a,229.5,211,U
BASKETBALL,NBA,CHI BULLS,WAS WIZARDS,n/a,242.5,243,O
BASKETBALL,NBA,DEN NUGGETS,BKN NETS,n/a,219.0,229,O
FOOTBALL,CFB,TEXAS,OHIO STATE,n/a,53.5,42,U
BASKETBALL,CBB,WISCONSIN,MINNESOTA,n/a,140.5,139,U
BASKETBALL,CBB,SAINT FRANCIS PA,MERCYHURST,n/a,135.5,132,U
BASKETBALL,CBB,MARYLAND,UCLA,n/a,138.0,140,O
BASKETBALL,CBB,TOLEDO,CENTRAL MICHIGAN,n/a,153.0,136,U
BASKETBALL,NBA,ORL MAGIC,MIN TIMBERWOLVES,n/a,199.5,193,U
BASKETBALL,NBA,DET PISTONS,GS WARRIORS,n/a,220.0,211,U
BASKETBALL,NBA,CLE CAVALIERS,TOR RAPTORS,n/a,235.5,258,O
BASKETBALL,NBA,MEM GRIZZLIES,HOU ROCKETS,n/a,234.0,234,D
BASKETBALL,NBA,DAL MAVERICKS,POR TRAIL BLAZERS,n/a,220.5,228,O
BASKETBALL,NBA,PHO SUNS,ATL HAWKS,n/a,238.5,238,U
BASKETBALL,NBA,UTA JAZZ,MIA HEAT,n/a,222.0,189,U
FOOTBALL,CFB,PENN STATE,NOTRE DAME,n/a,46.5,51,O
BASKETBALL,CBB,LITTLE ROCK,MOREHEAD STATE,n/a,136.0,112,U
BASKETBALL,CBB,CHATTANOOGA,UNC GREENSBORO,n/a,143.0,153,O
BASKETBALL,CBB,RUTGERS,PURDUE,n/a,147.5,118,U
BASKETBALL,CBB,OHIO STATE,OREGON,n/a,149.0,144,U
BASKETBALL,CBB,UMASS LOWELL,VERMONT,n/a,136.0,130,U
BASKETBALL,CBB,IU INDIANAPOLIS,DETROIT MERCY,n/a,139.0,156,O
BASKETBALL,CBB,BELLARMINE,JACKSONVILLE,n/a,141.0,133,U
BASKETBALL,CBB,TROY,TEXAS STATE,n/a,136.5,147,O
BASKETBALL,CBB,MONMOUTH,UNC WILMINGTON,n/a,145.0,119,U
BASKETBALL,CBB,WRIGHT STATE,OAKLAND,n/a,138.5,128,U
BASKETBALL,CBB,NORTH CAROLINA A&T,DELAWARE,n/a,161.5,186,O
BASKETBALL,CBB,HAMPTON,CAMPBELL,n/a,139.0,121,U
BASKETBALL,CBB,NJIT,UMBC,n/a,146.0,151,O
BASKETBALL,CBB,TOWSON,NORTHEASTERN,n/a,129.0,153,O
BASKETBALL,CBB,MARSHALL,JAMES MADISON,n/a,142.0,158,O
BASKETBALL,CBB,WILLIAM & MARY,ELON,n/a,152.0,143,U
BASKETBALL,CBB,EASTERN KENTUCKY,NORTH FLORIDA,n/a,169.5,153,U
BASKETBALL,CBB,FLORIDA GULF COAST,NORTH ALABAMA,n/a,144.5,145,O
BASKETBALL,CBB,STETSON,CENTRAL ARKANSAS,n/a,146.5,140,U
BASKETBALL,CBB,LOUISIANA TECH,FIU,n/a,139.0,145,O
BASKETBALL,CBB,MIDDLE TENNESSEE,KENNESAW STATE,n/a,158.0,163,O
BASKETBALL,CBB,MICHIGAN STATE,WASHINGTON,n/a,145.0,142,U
BASKETBALL,CBB,ORAL ROBERTS,NORTH DAKOTA STATE,n/a,152.0,206,O
BASKETBALL,CBB,SAMFORD,VMI,n/a,157.5,149,U
BASKETBALL,CBB,SOUTHERN MISS,ULM,n/a,141.5,151,O
BASKETBALL,CBB,LIPSCOMB,QUEENS NC,n/a,154.0,148,U
BASKETBALL,CBB,AUSTIN PEAY,WEST GEORGIA,n/a,131.0,140,O
BASKETBALL,CBB,WESTERN KENTUCKY,JACKSONVILLE STATE,n/a,151.5,140,U
BASKETBALL,CBB,UTAH VALLEY,GRAND CANYON,n/a,144.0,136,U
BASKETBALL,CBB,LOUISIANA,OLD DOMINION,n/a,145.0,131,U
BASKETBALL,CBB,SOUTH ALABAMA,ARKANSAS STATE,n/a,140.0,138,U
BASKETBALL,CBB,SE MISSOURI STATE,SOUTHERN INDIANA,n/a,141.5,143,O
BASKETBALL,CBB,SOUTHERN UTAH,TARLETON STATE,n/a,136.5,140,O
BASKETBALL,CBB,EASTERN ILLINOIS,TENNESSEE TECH,n/a,141.5,133,U
BASKETBALL,CBB,LINDENWOOD,TENNESSEE STATE,n/a,149.0,134,U
BASKETBALL,CBB,WESTERN ILLINOIS,UT MARTIN,n/a,133.5,168,O
BASKETBALL,CBB,UC DAVIS,CAL STATE FULLERTON,n/a,135.5,116,U
BASKETBALL,CBB,MONTANA,NORTHERN ARIZONA,n/a,152.0,157,O
BASKETBALL,CBB,UTAH TECH,UT ARLINGTON,n/a,154.5,136,U
BASKETBALL,CBB,DENVER,NORTH DAKOTA,n/a,152.5,165,O
BASKETBALL,CBB,MONTANA STATE,NORTHERN COLORADO,n/a,152.0,165,O
BASKETBALL,CBB,SAM HOUSTON,LIBERTY,n/a,141.5,144,O
BASKETBALL,CBB,WASHINGTON STATE,PACIFIC,n/a,153.5,189,O
BASKETBALL,CBB,UC SAN DIEGO,CAL POLY,n/a,158.5,163,O
BASKETBALL,CBB,SAN FRANCISCO,PORTLAND,n/a,146.5,153,O
BASKETBALL,CBB,SANTA CLARA,OREGON STATE,n/a,145.5,163,O
BASKETBALL,CBB,UC SANTA BARBARA,CSU BAKERSFIELD,n/a,136.5,144,O
BASKETBALL,CBB,CSUN,UC IRVINE,n/a,147.5,144,U
